MedCode,MedDescription,MedFamily
3300841,CEFTREX 500 IM F A (CEFTRIAXONA),Antiinfecciosos para uso sistémico
3300843,CATAFLAM 180MG SUSP 120ML PEDIAT(DICLOFENACO),Sistema musculoesquelético
3300846,PEPTOBISMOL C/24 CPR,Tracto alimentario y metabolismo
3300849,BLOPRESS PLUS 16/12.5MG C/14 TAB CANDESARTAN CILEXETILO/HIDR,Sistema cardiovascular
3300850,YUREDOL 10MG/250MG C/30 CAPS CICLOBENZAPRINA,Sistema musculoesquelético
3300857,FIRAC 250MG C/10 TAB (CLONIXINATO DE LISINA),Sistema nervioso
3300859,IMOT OFT 0.5% 15ML(TIMOLOL),Órganos de los sentidos
3300862,SELOKEN ZOK 95MG C/20 GRAGEAS (METOPROLOL ),Sistema cardiovascular
3300863,LACTEOL FORTE 340MG PVO C/6 SOB(LACTOBACILOS ACIDOFILOS),Tracto alimentario y metabolismo
3300866,HI DEX AMPOLLETA 1ML (COMPLEJO DE HIERRO DEXTRAN HIDROGENAD),Falla en Google
3300869,MESTINON 60MG C/20 CPR(PIRIDOSTIGMINA),Sistema nervioso
3300870,MICOSTATIN SUSP 30 DOSIS(NISTATINA),Tracto alimentario y metabolismo
3300871,BIOMICS 400MG C/6 CAP(CEFIXIMA ),Antiinfecciosos para uso sistémico
3300872,ATEMPERATOR 200MG C/40 CPR(VALPROATO DE MAGNESIO),Sistema nervioso
3300873,LUCRIN DEPOT 11.25MG C/1 AMP (ACETATO DE LEUPROLIDE),Antineoplásicos e inmunomoduladores
3300875,DIFLUCAN 100MG C/10 CAP(FLUCONAZOL),No encontrado
3300876,BEZALIP RETARD (BEZAFIBRATO) 400 MG TAB C/10,Sistema cardiovascular
3300882,NIMBEX 10MG AMP 5ML (BESILATO DE CISATRACURIO),Sistema musculoesquelético
3300884,MINIRIN SPRAY 2.5ML(DESMOPRESINA),"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3300885,INHIBITRON 20MG C/14 CAPS(OMEPRAZOL ),Tracto alimentario y metabolismo
3300892,TENORMIN 50MG C/28 TAB (ATENOLOL ),Sistema cardiovascular
3300893,TENORETIC 50MG C/28 TAB(ATENOLOL/CLORTALIDONA),No encontrado
3300897,MICARDIS PLUS 80/25MG C/14 TAB (TELMISARTAN/HIDROCLORITIAZI,Sistema cardiovascular
3300898,TOBRADEX GOTAS 5ML(TOBRAMICINA/DEXAMETASONA),Órganos de los sentidos
3300900,TOBREX 0.3% SOL. GTAS 5ML(TOBRAMICINA),No encontrado
3300904,ATARAX 10MG C/30 GRAG(HIDROXIZINA),Sistema nervioso
3300906,HUMALOG 100UI C/2 CART (INSULINA LISPRO (ORIGEN ADN RECOMBIN,Tracto alimentario y metabolismo
3300907,PYLOPAC CARTERAS C/7 CAPS.,Tracto alimentario y metabolismo
3300909,PANOTO-S JBE 100ML,Sistema respiratorio
3300913,DILAR 20MG 2ML AMPULA PARAMETASONA,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3300914,MICROLAX 450/45MG C/1 ENEMA,Tracto alimentario y metabolismo
3300915,ACETA DIAZOL 250MG C/30 TAB(ACETAZOLAMIDA),Órganos de los sentidos
3300917,ATEMPERATOR 500MG C/20 TAB(VALPROATO DE MAGNESIO),Sistema nervioso
3300919,DILACORAN 80MG C/30 GRAG(VERAPAMILO),Sistema cardiovascular
3300920,VYTORIN 10/20 10MG/20MG 14 TAB(EZETIMIBA/SIMVASTATINA),No encontrado
3300924,AMIKIN 500MG AMP 2ML (AMIKACINA),Antiinfecciosos para uso sistémico
3300932,ATACAND 32MG TAB C/14 CANDESARTAN CILEXETILO,Sistema cardiovascular
3300935,LAMISIL 15G CREMA(TERBINAFINA),Dermatológicos
3300937,PANTOZOL 40MG C/7 GRAGEAS(PANTOPRAZOL),Tracto alimentario y metabolismo
3300939,ORECIL NF SOL.10ML C/GOTERO,Órganos de los sentidos
3300942,COZAAR 50MG C/15 GRAGEAS(LOSARTAN) MERCK,Sistema cardiovascular
3300946,DORIXINA RELAX 125/5MG C/20 CPR(LISINA/CICLOBENZAPRINA),Sistema musculoesquelético
3300947,KRIADEX 2.5MG/1ML GOTAS 10ML CLONAZEPAM,Sistema nervioso
3300948,JANUVIA 50MG C/28 CPR(SITAGLIPTINA),Tracto alimentario y metabolismo
3300950,ESKAPAR 4.4G SUSP 90ML(NIFUROXAZIDA),Tracto alimentario y metabolismo
3300951,CLARITYNE D 5/30MG C/10 TAB (LORATADINA/FENILEFRINA),Sistema respiratorio
3300952,PULMOCARE 236 ML VAINILLA,Varios
3300955,KLARICID OD 500MG C/7 TAB CLARITROMICINA,Antiinfecciosos para uso sistémico
3300956,KLARICID OD 500MG C/10 TAB(CLARITOMICINA),Antiinfecciosos para uso sistémico
3300957,KLARICID HP 500MG C/10 TAB(CLARITROMICINA),Antiinfecciosos para uso sistémico
3300958,"ESMISEN C/30 TAB (KETOROLACO ,TIAMINA,PIRIDOXINA )",Sistema musculoesquelético
3300962,MICARDIS PLUS 80/12.5MG C/14 TAB,Sistema cardiovascular
3300964,SOSTENON 250 AMP 1ML,Sistema genitourinario y hormonas sexuales
3300965,SYMBICORT 160/4.5MCG 60 DOSIS(BUDESONINA/FORMOTEROL),Sistema respiratorio
3300969,FLANAX 550MG C/12 TAB(NAPROXENO),Sistema musculoesquelético
3300972,AGRASTAT 12.5MG/250ML AMPOLLETA (TIROFIBAN),No encontrado
3300974,CELESTAMINE NS 5/0.25MG C/10 TAB(LORATADINA/BETAMETASONA,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3300975,TREXEN DUO 100/400MG C/7 OVULOS CLINDAMICINA/KETOCONAZOL,Sistema genitourinario y hormonas sexuales
3300977,DEPAKENE I.V. 500MG AMP 5ML (ACIDO VALPROICO),Sistema nervioso
3300978,SOYALOID PACK 20G C/10 SOBRES HARINA DE SOYA,Dermatológicos
3300979,MOBICOX 15 MG TAB C/30 (MELOXICAM),Sistema musculoesquelético
3300983,BRISTAFLAM CREMA 60G ACECLOFENACO,Sistema musculoesquelético
3300986,BIPASMIN COMPUESTO 20MG/2.5G AMP (BUTILHIOSCINA/METAMIZOL),Tracto alimentario y metabolismo
3300987,KEFLEX 1G C/12 TAB(CEFALEXINA),Antiinfecciosos para uso sistémico
3300994,TRAMACET 37.5/325MG C/20 TAB(PARACETAMOL /TRAMADOL),Sistema nervioso
3300995,DIMEGAN 100MG JBE 60ML(LORATADINA),Sistema respiratorio
3301002,DICYNONE 250MG AMP 2ML (ETAMSILATO),Sangre y órganos hematopoyéticos
3301003,HIDRASEC 30MG C/18 SOBRES(RACECADOTRILO),No encontrado
3301004,KEPPRA 500MG C/30 TAB(LEVETIRACETAM),Sistema nervioso
3301005,DIPROSPAN 5/2MG AMP 5ML(BETAMETASONA),"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301007,RANTUDIL 60MG C/28 CAPSACEMETACINA,Sistema musculoesquelético
3301013,TYLEX 750MG C/20 TAB PARACETAMOL,Sistema nervioso
3301014,ENALADIL 20MG C/10 TAB(ENALAPRIL),Sistema cardiovascular
3301016,ALIN 0.75MG C/30 TAB (DEXAMETASONA),"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301018,DEPOMEDROL 40MG/ML AMP 2ML(METILPREDNISOLONA),"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301020,AFRIN ADULTO SPRAY 20ML (OXIMETAZOLINA ) SCHERIN,Sistema respiratorio
3301021,AFRIN LUB ADULTO SPRAY 20ML (OXIMETAZOLINA),Sistema respiratorio
3301022,AFRIN INFANTIL SPRAY 20ML (OXIMETAZOLINA),Sistema respiratorio
3301023,RECOVERON (C) 5G CREMA 40G ACIDO ACEX@MICO,Dermatológicos
3301029,BISOLVON SOLUCION ADULTO 120ML(BROMHEXINA),Sistema respiratorio
3301033,RAPIVIR 500MG C/10 TAB,Antiinfecciosos para uso sistémico
3301034,RANISEN (RANITIDINA) 1.5G/100ML JARABE 200ML,Tracto alimentario y metabolismo
3301037,BISOLVON INFANTIL 120ML SOL(BROMHEXINA),Sistema respiratorio
3301040,DAFLON 500MG C/20 TABLETAS(DIOSMINA/HESPERIDINA),Sistema cardiovascular
3301041,DAFLON 750MG C/18 GRAGEAS(DIOSMINA/HESPERIDINA) SANFER,Sistema cardiovascular
3301044,AGGLAD OFTENO (BRIMONIDINA) 2MG/ML GOTAS 5ML,Órganos de los sentidos
3301046,AMARYL M (GLIMEPIRIDA/METFORMINA) 4MG/1000MG TAB C/16,Tracto alimentario y metabolismo
3301047,GI GARAMICINA 20MG AMP 2ML (GENTAMICINA),Falla en Google
3301048,DAXON 500MG C/6 TAB(NITAZOXANIDA),"Antiparasitarios, insecticidas y repelentes"
3301049,NEO MELUBRINA 2.5G AMP 5ML (METAMIZOL SODICO),Sistema nervioso
3301050,NEO MELUBRINA 1G AMP 2ML (METAMIZOL SODICO),Falla en Google
3301051,ARAVA 20MG C/30 CAPS (LEFLUNOMIDA),Antineoplásicos e inmunomoduladores
3301053,FIRAC 125GM C/10 TAB(CLONIXINATO DE LISINA),Sistema nervioso
3301055,ULCODERMA UNGUENTO 15G (CLORANFENICOL/COLAGEASA),Dermatológicos
3301060,XATRAL OD 10MG C/14 TAB(ALFUZOSINA),Sistema genitourinario y hormonas sexuales
3301061,ATACAND PLUS 16MG/12.5MG C/14TAB. CANDESARTAN/HIDROCLOROTIAZ,Sistema cardiovascular
3301064,ATHOS 30MG C/20 CAPS(DEXTROMETORFANO),Sistema respiratorio
3301068,BRIDION 100MG/2ML FCO AMP I.V. (SUGAMMADEX),Varios
3301070,VYTORIN 10/10MG C/14 TABS.(EZETIMIBA/SIMVASTATINA),No encontrado
3301071,"CALTRATE 600+D C/30 TAB CALCIUM / VITAMIN D,",Tracto alimentario y metabolismo
3301073,BONADOXINA 25MG C/25 TAB (MECLIZINA/PIRIDOXINA),Sistema respiratorio
3301074,RISPERDAL 100MG GOTAS 60ML(RISPERIDONA),No encontrado
3301076,BLADURIL 200MG C/20 TAB,Sistema genitourinario y hormonas sexuales
3301083,DENVAR 100 MILIGRAMOS SUSP 100ML (CEFIXIMA ),No encontrado
3301093,DETRUSITOL 2MG C/14 TAB(TOLTERIDONA),No encontrado
3301094,SINUBERASE ORAL 5ML C/10 AMP,Tracto alimentario y metabolismo
3301096,ENTEROGERMINA (ORAL)AMP 5ML (ESPORAS DE BACILLUS CLAUSII ),Tracto alimentario y metabolismo
3301097,AFUMIX 37.5/500MG C/4 TAB(FLUCONAZOL/TINIDAZOL),Antiinfecciosos para uso sistémico
3301109,MOTRIN 600MG C/45 GRAGEAS(IBUPROFENO),Sistema musculoesquelético
3301114,HIDRASEC 100MG C/9 CAPS(RACECADOTRILO),No encontrado
3301116,SPIRIVA 18MCG C/20 CAPBROMURO DE TIOTROPIO,Sistema respiratorio
3301118,CICLOFERON 2G CREMA(ACICLOVIR),Antiinfecciosos para uso sistémico
3301119,BIOYETIN 4000 UI JER. PRELL O FCO.AMP. (ERITROPOYETINA HUMA),Sangre y órganos hematopoyéticos
3301120,ANARA 5MG C/20 TAB(PICOSULFATO SODICO),Tracto alimentario y metabolismo
3301130,STALEVO 50/12.5/200 MG C/30 TAB LEVODOPA/CARBIDOPA/ENTACAPON,Sistema nervioso
3301131,ADVANTAN CREMA 15 GR (METILPREDNISOLONA),Dermatológicos
3301135,CONCERTA 54MG TAB C/30(METILFENIDATO ) CONTROLADO,No encontrado
3301139,NEUROFLAX 20MG/4MG X AMP(COBAMAMIDA/TIOCOLCHICOSIDO),Sistema musculoesquelético
3301140,NEUROFLAX 20/4MG C/3 AMP (COBAMAMIDA/TIOCOLCHICOSIDO),Sistema musculoesquelético
3301147,ROCALTROL 0.25MCG C/30 CAPS(CALCITRIOL),Tracto alimentario y metabolismo
3301148,TRADOL 100MG GOTAS 10ML TRAMADOL,Sistema nervioso
3301151,FACICAM GEL TUBO 40GR (PIROXICAM),Sistema musculoesquelético
3301154,ALIN 8MG AMP 2ML (DEXAMETASONA),"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301155,ALIN DEPOT 8MG 2ML AMP (DEXAMETASONA),"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301157,ESTECLIN 300MG C/20 CAP(ERDOSTEINA),Sistema respiratorio
3301168,VONTROL 25MG C/25 TAB (DIFENIDOL),Falla en Google
3301169,ZENTEL 200MG C/10 TAB(ALBENDAZOL),"Antiparasitarios, insecticidas y repelentes"
3301171,GARAMICINA 160MG AMP 2ML (GENTAMICINA),Antiinfecciosos para uso sistémico
3301172,GARAMICINA 80MG AMP 2ML (GENTAMICINA),Antiinfecciosos para uso sistémico
3301178,ALDOMET 250MG C/50 TAB(METILDOPA),Sistema cardiovascular
3301181,ALTRULINE 50MG C/14 CAPS(SERTRALINA),Sistema nervioso
3301184,VASCULFLOW 250/225/25MG TAB C/30(DIOSMINA/HESPERIDINA/DOBESI,Sistema cardiovascular
3301185,ZINNAT 500MG C/10 TAB(CEFUROXIMA),Antiinfecciosos para uso sistémico
3301186,VONTROL 40MG AMP 2ML (DIFENIDOL),Falla en Google
3301189,POSIPEN 500MG C/12 CAP(DICLOXACILINA),Antiinfecciosos para uso sistémico
3301191,RINELON 0.05% SPRAY SUSP PED 10G(MOMETASONA),Sistema respiratorio
3301192,GALVUS MET 50MG/850MG C/60 CPR METFORMINA/VILDAGLIPTINA,Tracto alimentario y metabolismo
3301198,EMLA 1GR C/2 PARCHES 25MG/25MG (LIDOCAINA/PRILOCAINA),Sistema nervioso
3301199,SUFREXAL GEL 2% CREMA 78GKETANSERIN,Dermatológicos
3301202,FARMEBAN 500/100MG C/30 CAPS(DIMETICONA/DIYODOHIDROXIQUINOL,"Antiparasitarios, insecticidas y repelentes"
3301203,SIRDALUD 2MG CAJA C/20 TAB(TIZANIDINA),No encontrado
3301205,BUSCAPINA AMP SIMP. 20MG 1ML(BUTILHIOSCINA),No encontrado
3301207,COMBESTERAL AMP I.M. C/3(COMPLEJO B/DEXAMETASONA/LIDOCAINA),Sistema musculoesquelético
3301213,ZINTREPID 10MG/40MG C28 TAB.(EZETIMIBA/SIMVASTATINA),Sistema cardiovascular
3301214,BUSCAPINA COMPOSITUM (HIOSCINA/METAMIZOL) 20 MG/2.5 G/5 ML A,No encontrado
3301215,BUSCAPINA COMP 10/250MG C/20 GRAG (BUTILHIOSCINA/METASODICO),No encontrado
3301222,METICORTEN 5MG C/30 TAB(PREDNISONA),"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301223,"CELESTAMINE NS PED JBE 60ML(LORATADINA, BETAMETASONA)","Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301225,BINODIAN DEPOT (PRASTERONA/ESTRADIOL) 200 MG/ 4 MG/ML JER PRELL,Sistema genitourinario y hormonas sexuales
3301231,MIRCERA 250MCG /0.3 CAJA C/1 AMP (METOXI POLIETILEN GLICOL-E,Sangre y órganos hematopoyéticos
3301234,ALGITRIN 325/200MG C/24 TAB (PARACETAMOL/IBUPROFENO),Sistema nervioso
3301235,ANGIOTROFIN 30MG C/30 TAB (DILTIAZEM),Sistema cardiovascular
3301237,MACRODANTINA 100MG C/40 CAPS(NITROFURANTOINA),Antiinfecciosos para uso sistémico
3301238,DULCOLAX 5MG C/30 TAB (BISACODILO),Tracto alimentario y metabolismo
3301239,SYNALAR NEOMICINA 0.01% 40G CREMA,Dermatológicos
3301240,DOMEBORO 36.4/51.6G C/12 SOBRES(CALCIO/ALUMINIO),Dermatológicos
3301248,VITAMINA E ETERNAL 100MG C/30 CAPS(VITAMINA E),Tracto alimentario y metabolismo
3301249,VITAMINA E ETERNAL 400MG C/99 CAPS(VITAMINA E),Tracto alimentario y metabolismo
3301251,RIFOCYNA SPRAY SOL. 20MLRIFAMICINA,Antiinfecciosos para uso sistémico
3301252,PULMOZYME 2.5MG/2.5ML AMP C/6,No encontrado
3301253,AFUNGIL 100MG C/10 CAPS(FLUCONAZOL),Antiinfecciosos para uso sistémico
3301256,LIBERTRIM SII 200/75 MG COMP C 24(TRIMEBUTINA/SIMETICONA),Tracto alimentario y metabolismo
3301257,CLORAN OFTENO GOTAS 15ML (CLORANFENICOL),Órganos de los sentidos
3301259,VANTAL BUCOFARINGEO 30ML(BENCIDAMINA),Tracto alimentario y metabolismo
3301264,ULSEN 20MG C/14 CAPS(OMEPRAZOL),Tracto alimentario y metabolismo
3301268,TABALON 400MG C/10 TAB IBUPROFENO,Sistema musculoesquelético
3301280,DABEX XR 750 MG C/30(METFORMINA),Tracto alimentario y metabolismo
3301282,SENSIBIT 10MG C/10 TAB(LORATADINA),Sistema respiratorio
3301284,ATEMPERATOR 400MG C/20 GRAG(VALPROATO DE MAGNESIO),Sistema nervioso
3301285,"BEDOYECTA TRI CAJA C/5 AMPOLLETAS HIDROXOCOBALAMINA, VITAMIN",Tracto alimentario y metabolismo
3301286,CRONOLEVEL 5/2MG AMP 2ML(BETAMETASONA),"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301290,BRAXAN 200MG C/20 CPR(AMIODARONA),Sistema cardiovascular
3301295,CANESTEN 1% 30GR CREMA(CLOTRIMAZOL),Dermatológicos
3301297,NOVOMIX 30 FLEX PEN 100U/ML (INSULINA ASPARTICA),Tracto alimentario y metabolismo
3301298,CANESTEN V 20G CREMA VAGINAL(CLOTRIMAZOL),Dermatológicos
3301299,RIBOTRIPSIN C/25 GRAG (TRIPSINA/QUIMO/TRIPSINA),Sistema musculoesquelético
3301300,FLAGYL 250MG C/30 CPR(METRONIDAZOL),Antiinfecciosos para uso sistémico
3301304,CAPOTENA 25MG C/30 TAB(CAPTOPRIL),Sistema cardiovascular
3301307,PANKREOFLAT 80/170MG C/60 TAB (DIMETICONA/PANCREATINA),Tracto alimentario y metabolismo
3301311,"RECORMON 5,000UI AMP C/1 (ERITROPOYETINA HUMANA)",Sangre y órganos hematopoyéticos
3301314,"MAXITROL 5ML GOTAS SUSP(NEOMICINA,POLIMIXINA B,DEXAMETAXONA",Órganos de los sentidos
3301315,MIACALCIC 100UI CAJA C/5 AMP (CALCITONINA),No encontrado
3301316,CALCORT 6MG C/20,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301317,LANTUS SOLOSTAR PLUMA 100UI 3 ML C/1 (INSULINA GLARGINA),Tracto alimentario y metabolismo
3301319,MOTIVAL BLIST C/60 GRAG CONTROLADO,Sistema nervioso
3301322,CARZILASA 25ML AMP (COCARBOXILASA),Tracto alimentario y metabolismo
3301327,AMOBAY CL 12H (AMOXICILINA/AC CLAVULANICO) 400MG/57MG/50ML SUSP 70ML,Antiinfecciosos para uso sistémico
3301329,DABEX 500 C/60 TAB(METFORMINA),Tracto alimentario y metabolismo
3301331,PROGRAF 1MG C/50 CAPS (TACROLIMUS),No encontrado
3301332,SERETIDE DISKUS 50MCG/500MCG 60 DOSIS SALMETEROL/FLUTICASONA,No encontrado
3301333,DURATER 20MG C/20 CPR (FAMOTIDINA),Tracto alimentario y metabolismo
3301334,CLARITYNE JBE 100 MG 60ML(LORATADINA),Sistema respiratorio
3301339,ARGENTAFIL CREMA 1% 160 G(SULFADIAZINA DE PLATA),Dermatológicos
3301341,ARLUY (MEBEVERINA) 200 MG CAP C/30,Tracto alimentario y metabolismo
3301346,CATAFLAM DD 50MG C/12 GRAGEAS(DICLOFENACO),Sistema musculoesquelético
3301347,VESSEL DUE F 60 MG IV/IM CAJA CON 10 AMP (SULODEXIDA),Sangre y órganos hematopoyéticos
3301349,TIAMINAL B12 50000U FCO AMP 10 ML C/5JERINGAS(COMPLEJO B,Tracto alimentario y metabolismo
3301353,ASPIRINA 500MG C/40 TAB ACIDO ACETILSALICILICO,Sistema nervioso
3301354,ASPIRINA PROTECT 100MG C/28 CPR(ACIDO ACETILSALICILICO)BAYER,Sistema nervioso
3301355,TIAMIDEXAL 2ML/I.M. X AMP (DEXAMETASONA/TIAMINA/CIANOCOBAL.),Sistema musculoesquelético
3301357,VIBRAMICINA 100MG C/10 CAPS(DOXICICLINA),Antiinfecciosos para uso sistémico
3301358,MOTRIN RETARD 800MG C/30 GRAGEAS(IBUPROFENO),Sistema musculoesquelético
3301363,NOVOVARTALON SOB C/30,Sistema musculoesquelético
3301364,EPAMIN SP 250MG AMP 5ML (FENITOINA),Sistema nervioso
3301367,PRESTOFLAM LD 250/50 MG C/14CLONIXINATO DE LISINA/DICLOFENAC,Sistema musculoesquelético
3301368,ZACTOS 15MG C/7 TAB PIOGLITAZONA,Tracto alimentario y metabolismo
3301372,SENOKOT F 17.2MG C/30 TABS(SENOSIDOS A-B),Tracto alimentario y metabolismo
3301375,EXFORGE HCT 5/160/12.5 C/28 CPR(AMLODIPINO/VALSARTAN/HIDROCL,Sistema cardiovascular
3301376,CONTUMAX POLVO 17G C/15 SOBRES(POLIETILENGLICOL),Tracto alimentario y metabolismo
3301378,SUFREXAL COMBI C/10 OVULOS VAGI/ANSERINA/METRONIDAZOL/,Dermatológicos
3301381,PEPTOBISMOL SUSP 118ML ORIGINAL/CEREZA SUBSALICILATO DE BIS,Tracto alimentario y metabolismo
3301382,GALVUS 50MG C/28 TAB.(VILDAGLIPTINA),Tracto alimentario y metabolismo
3301386,PROFENID I.V. 100MG 2ML AMP (KETOPROFENO),Sistema musculoesquelético
3301388,NULYTELY 110.1G POLVO SOBRE X PZA,Tracto alimentario y metabolismo
3301389,ZACTOS 30MG C/7 TAB PIOGLITAZONA,Tracto alimentario y metabolismo
3301392,PANTOZOL 40MG C/14 GRAG(PANTOPRAZOL),Tracto alimentario y metabolismo
3301393,ZYLOPRIM 300MG C/60 TAB(ALOPURINOL),Sistema musculoesquelético
3301397,HUMULIN N NPH 10ML (INSULINA HUMANA RECOMBINANTE ISSFANA ),Tracto alimentario y metabolismo
3301398,HUMULIN R 10ML 100UI/ML AMP (INSULINA HUMANA RECOMBINANTE),Tracto alimentario y metabolismo
3301406,NIMOTOP 10MG AMP 50ML (NIMODIPINO),Sistema cardiovascular
3301409,CELESTONE 3MG SOLUSPAN JERINGA 1ML.(BETAMETASONA),"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301411,ASPIRINA JUNIOR 100MG C/60 TAB ACIDO ACETILSALICILICO,Sistema nervioso
3301412,CELESTONE HYPAK AMPOLLETA(BETAMETASONA) 8MG/2ML,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301421,"FEBRAX 100MG C/5 SUPOSITORIOS(NAPROXENO ,PARACETAMOL)",Sistema nervioso
3301425,TEOLONG 200MG C/20 CAPS(TEOFILINA/THEOPHYLLINE),Sistema respiratorio
3301430,QLAIRA 28 COMP. ORAL,No encontrado
3301432,ALMETEC CO 20/12.5MG C/28 TAB ALMESARTAN/HIDROCLOROTIAZIDA),Sistema cardiovascular
3301433,REGIVAS 400MG C/20 TAB RECUBIERTASDRONEDARONA,Sistema cardiovascular
3301437,UNAMOL 5MG C/30 CPR(CISAPRIDA),Tracto alimentario y metabolismo
3301438,UNAMOL 10MG C/30 CPR(CISAPRIDA),Tracto alimentario y metabolismo
3301442,GLUCOPHAGE 500MG C/60 TAB(METFORMINA),Tracto alimentario y metabolismo
3301448,LIBERTRIM 200MG C/24 CPR(TRIMEBUTINA),Tracto alimentario y metabolismo
3301450,CLORURO DE SODIO CAPSULAS.,Sangre y órganos hematopoyéticos
3301452,CARDISPAN 1GR AMP 5ML (LEVOCARNITINA),Tracto alimentario y metabolismo
3301455,SINUBERASE C/48 CPR,Tracto alimentario y metabolismo
3301456,EXFORGE 10/160MG C/28 COMP (AMLODIPINO/VALSARTAN),Sistema cardiovascular
3301460,ZYRTEC 10MG C/10 TAB(CETIRIZINA),No encontrado
3301463,ITALDERMOL 15/1G CREMA 30G TUBO(TRITICUM VULGARE),Dermatológicos
3301464,ITALDERMOL 4G C/10 GASAS(TRITICUM VULGARE),Dermatológicos
3301470,"BEDOYECTA TRIC/1 AMPOLLETA HIDROXOCOBALAMINA, VITAMINAS B1",Tracto alimentario y metabolismo
3301472,PROZAC 20MG C/14 CAPS(FLUOXETINA),Sistema nervioso
3301473,FLORATIL 200MG C/6 CAPS(SACCHAROMYCES BOULARDII),Tracto alimentario y metabolismo
3301480,LIBERTRIM 100MG C/20 CPR TRIMEBUTINA,Tracto alimentario y metabolismo
3301490,SUPRADOL GEL 30GR KETOROLACO,Sistema musculoesquelético
3301492,AKINETON 2MG C/30 TAB (BIPERIDENO),Sistema nervioso
3301493,EXFORGE 10/160 C/14 CPR(AMLODIPINO/VALSARTAN),Sistema cardiovascular
3301496,TOBRADEX 3.5GR UNGUENTO(TOBRAMICINA/DEXAMETASONA),Órganos de los sentidos
3301497,LOGIMAX 5/47.5MG C/14 TAB (FELODIPINO/METOPROLOL),Sistema cardiovascular
3301498,BICARTIAL 5 MG/100 MG C/14 CAPS(AMLODIPINO/LOSARTAN),Sistema cardiovascular
3301506,SIFROL 0.5MG TAB C/30 PRAMIPEXOL,Sistema nervioso
3301508,VIVITAR 100MG C/30 (ESPIRONOLACTONA),Sistema cardiovascular
3301511,"MADOPAR 100MG/25MG 125MG C/30 CAP(LEVODOPA,BENDERAZIDA)",Sistema nervioso
3301518,CONCOR 5MG C/30 GRAG(BISOPROLOL) MERCK,Sistema cardiovascular
3301523,AVELOX 400MG C/7 TAB (MOXIFLOXACINO),Antiinfecciosos para uso sistémico
3301525,PROCORALAN 7.5MG C/56 COMP (IVABRADINA),Sistema cardiovascular
3301526,CLARITYNE 10MG C/10 TAB LORATADINA,Sistema respiratorio
3301533,RELENZA 5MG 5X4 C/DISPOSITIVO INHALADOR ZANAMIVIR,No encontrado
3301534,FLONORM 100MG SUSP. 60ML(RIFAXIMINA),Tracto alimentario y metabolismo
3301535,LECHE DE MAGNESIA NORMEX 180ML(LECHE DE MAGNESIA),No encontrado
3301536,BIOTREFON L C/12 SOBRES,Sangre y órganos hematopoyéticos
3301540,DOLAC 30MG SUBLINGUAL C/2 TAB KETOROLACO,Sistema musculoesquelético
3301542,REZPLEN 500/45MG C/10 TABCLARITROMICINA/AMBROXOL,Sistema respiratorio
3301545,CLORAMFENI OTICO SOL 10ML GOTAS(CLORANFENICOL),Órganos de los sentidos
3301547,VITERNUM JARABE 140ML DIHEXAZINA),Tracto alimentario y metabolismo
3301549,CIPROFLOX 500MG C/6 CAP (CIPROFLOXACINO),Antiinfecciosos para uso sistémico
3301550,CLOROTRIMETON REP 4MG C/20 TAB(CLORFENAMINA),Sistema respiratorio
3301552,INMUNEF 30MUI 0.5ML(FILGRASTIM),Antineoplásicos e inmunomoduladores
3301553,CLOROTRIMETON REP 8MG C/20 TAB(CLORFENAMINA),Sistema respiratorio
3301556,CLOROTRIMETON 10MG AMP (CLORFENAMINA),Sistema respiratorio
3301558,DAFLOXEN F 275/300MG C/16 TAB(NAPROXENO/PARACETAMOL),Sistema nervioso
3301560,NIDO KINDER 1+ BOTE 800MG (LECHE EN POLVO),Falla en Google
3301561,CITOX 20MG C/28 TAB (CITALOPRAM),Sistema nervioso
3301564,TAFIROL 1GR C/20 TAB,Sistema nervioso
3301566,SUPRADOL 60MG AMP 2ML (KETOROLACO),Sistema musculoesquelético
3301569,VIRLIX 10MG C/10 TAB(CETIRIZINA),Sistema respiratorio
3301570,ULSEN PCS 40MG C/14 TAB (OMEPRAZOL),Tracto alimentario y metabolismo
3301571,RISPERDAL 2MG C/20 TAB(RISPERIDONA),No encontrado
3301572,RANTUDIL RETARD 90MG C/14 CAPSACEMETACINA,Sistema musculoesquelético
3301573,AVIANT 5MG C/30 TAB(DESLORATADINA),Sistema respiratorio
