MedCode,MedDescription,Compound,MedFamily,MedPriceMXN,MinStock,MaxStock
3300781,RENACENZ 10ML 215.2MG CAJA C/5 AMP (CEREBROLYSIN),CEREBROLYSIN,Sistema nervioso,431.5,5,12
3300784,BENTYL 10MG C/30 CAP DICICLOVERINA,BENTYL,Tracto alimentario y metabolismo,219.5,1,1
3300819,AUGMENTIN JR 12H 400MG SUSP 60ML(AMOXICILINA/ACIDO,AMOXICILINA/ACIDO,Antiinfecciosos para uso sistémico,268,1,2
3300717,RAPIX 10MG C/10 CAP(KETOROLACO),KETOROLACO,Sistema musculoesquelético,254,2,6
3300773,GRIMAL GOTAS 2MG 10ML(HIALURONATO/OXIMETAZOLINA),HIALURONATO/OXIMETAZOLINA,Órganos de los sentidos,331,1,1
3300719,TALIZER 100MG C/50 TAB,TALIZER,Antineoplásicos e inmunomoduladores,236,1,1
3300820,AMOBAY 500MG C/15 CAPS (AMOXICILINA),AMOXICILINA,Antiinfecciosos para uso sistémico,146,1,1
3300763,HYZAAR 50/12.5MG C/15 TAB(LOSARTAN/HIDROCLOROTIAZIDA),LOSARTAN/HIDROCLOROTIAZIDA,Sistema cardiovascular,1077,1,2
3300687,PLENDIL 5MG C/30 TAB,PLENDIL,Sistema cardiovascular,529,1,2
3300822,NEBIDO 1000 MG 4ML AMP IM,NEBIDO,Sistema genitourinario y hormonas sexuales,420,2,2
3300799,XUZAL 5MG C/20 TAB LEVOCETIRIZINA,XUZAL,Sistema respiratorio,699,1,2
3300694,SEVERIN NF 100MG C/10 TAB(NIMESULIDA ),NIMESULIDA ,Sistema musculoesquelético,105,2,2
3300765,TEBONIN 761 40MG C/24 CPR(GINKGO BILOBA),Tebonin,Sistema nervioso,330,1,1
3300747,KLARICID I.V. 500MG AMP (CLARITROMICINA),CLARITROMICINA,Antiinfecciosos para uso sistémico,2367,37,107
3300701,RINELON 0.050G SPRAY NASAL 18ML(MOMETASONA),MOMETASONA,Sistema respiratorio,690.5,2,4
3300789,PROSCAR 5MG C/30 TAB (FINASTERIDA),FINASTERIDA,Sistema genitourinario y hormonas sexuales,329.5,1,1
3300859,IMOT OFT 0.5% 15ML(TIMOLOL),TIMOLOL,Órganos de los sentidos,338,1,1
3300937,PANTOZOL 40MG C/7 GRAGEAS(PANTOPRAZOL),PANTOPRAZOL,Tracto alimentario y metabolismo,341,1,2
3300958,"ESMISEN C/30 TAB (KETOROLACO ,TIAMINA,PIRIDOXINA )","KETOROLACO ,TIAMINA,PIRIDOXINA ",Sistema musculoesquelético,1266,1,1
3300846,PEPTOBISMOL C/24 CPR,PEPTOBISMOL,Tracto alimentario y metabolismo,1221,1,1
3300957,KLARICID HP 500MG C/10 TAB(CLARITROMICINA),CLARITROMICINA,Antiinfecciosos para uso sistémico,750.5,3,3
3300892,TENORMIN 50MG C/28 TAB (ATENOLOL ),ATENOLOL ,Sistema cardiovascular,408,2,2
3300946,DORIXINA RELAX 125/5MG C/20 CPR(LISINA/CICLOBENZAPRINA),LISINA/CICLOBENZAPRINA,Sistema musculoesquelético,1490,3,8
3300839,CLORAMFENI UNGUENTO 5G(CLORANFENICOL),CLORANFENICOL,Antiinfecciosos para uso sistémico,111,1,2
3300841,CEFTREX 500 IM F A (CEFTRIAXONA),CEFTRIAXONA,Antiinfecciosos para uso sistémico,905,2,6
3300917,ATEMPERATOR 500MG C/20 TAB(VALPROATO DE MAGNESIO),VALPROATO DE MAGNESIO,Sistema nervioso,518,1,1
3300893,TENORETIC 50MG C/28 TAB(ATENOLOL/CLORTALIDONA),ATENOLOL/CLORTALIDONA,Sistema cardiovascular,137,1,1
3300871,BIOMICS 400MG C/6 CAP(CEFIXIMA ),CEFIXIMA ,Antiinfecciosos para uso sistémico,297,5,12
3300935,LAMISIL 15G CREMA(TERBINAFINA),TERBINAFINA,Dermatológicos,354,1,1
3300869,MESTINON 60MG C/20 CPR(PIRIDOSTIGMINA),PIRIDOSTIGMINA,Sistema nervioso,208,2,2
3300975,TREXEN DUO 100/400MG C/7 OVULOS CLINDAMICINA/KETOCONAZOL,TREXEN,Sistema genitourinario y hormonas sexuales,99,1,2
3300942,COZAAR 50MG C/15 GRAGEAS(LOSARTAN) MERCK,LOSARTAN,Sistema cardiovascular,1313,2,2
3300836,COLCHIQUIM 1MG C/20 TAB(COLCHICINA),COLCHICINA,Sistema musculoesquelético,65,2,3
3300956,KLARICID OD 500MG C/10 TAB(CLARITOMICINA),CLARITOMICINA,Antiinfecciosos para uso sistémico,221,1,1
3300951,CLARITYNE D 5/30MG C/10 TAB (LORATADINA/FENILEFRINA),LORATADINA/FENILEFRINA,Sistema respiratorio,344.5,2,2
3300876,BEZALIP RETARD (BEZAFIBRATO) 400 MG TAB C/10,BEZAFIBRATO,Sistema cardiovascular,442,2,2
3300857,FIRAC 250MG C/10 TAB (CLONIXINATO DE LISINA),CLONIXINATO DE LISINA,Sistema musculoesquelético,227,1,1
3300900,TOBREX 0.3% SOL. GTAS 5ML(TOBRAMICINA),TOBRAMICINA,Antiinfecciosos para uso sistémico,591.5,1,1
3300849,BLOPRESS PLUS 16/12.5MG C/14 TAB CANDESARTAN CILEXETILO/HIDR,BLOPRESS,Sistema cardiovascular,610,1,1
3300964,SOSTENON 250 AMP 1ML,SOSTENON,Sistema genitourinario y hormonas sexuales,1624,1,1
3300884,MINIRIN SPRAY 2.5ML(DESMOPRESINA),DESMOPRESINA,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas",230,1,2
3300969,FLANAX 550MG C/12 TAB(NAPROXENO),NAPROXENO,Sistema musculoesquelético,153,2,2
3300885,INHIBITRON 20MG C/14 CAPS(OMEPRAZOL ),OMEPRAZOL ,Tracto alimentario y metabolismo,609,2,6
3300850,YUREDOL 10MG/250MG C/30 CAPS CICLOBENZAPRINA,YUREDOL,Sistema musculoesquelético,453,1,1
3300979,MOBICOX 15 MG TAB C/30 (MELOXICAM),MELOXICAM,Sistema musculoesquelético,417.78,1,1
3300919,DILACORAN 80MG C/30 GRAG(VERAPAMILO),VERAPAMILO,Sistema cardiovascular,446.5,1,1
3300897,MICARDIS PLUS 80/25MG C/14 TAB (TELMISARTAN/HIDROCLORITIAZI,TELMISARTAN/HIDROCLORITIAZI,Sistema cardiovascular,319,1,2
3300904,ATARAX 10MG C/30 GRAG(HIDROXIZINA),HIDROXIZINA,Sistema nervioso,403,2,2
3300872,ATEMPERATOR 200MG C/40 CPR(VALPROATO DE MAGNESIO),VALPROATO DE MAGNESIO,Sistema nervioso,342,2,2
3300932,ATACAND 32MG TAB C/14 CANDESARTAN CILEXETILO,ATACAND,Sistema cardiovascular,1001.5,1,1
3300947,KRIADEX 2.5MG/1ML GOTAS 10ML CLONAZEPAM,KRIADEX,Sistema nervioso,2903,1,1
3300862,SELOKEN ZOK 95MG C/20 GRAGEAS (METOPROLOL ),METOPROLOL ,Sistema cardiovascular,379,3,7
3300837,KANK A 0.3 SOL 9.7ML(BENZOCAINA),BENZOCAINA,Sistema nervioso,169.73,1,2
3300977,DEPAKENE I.V. 500MG AMP 5ML (ACIDO VALPROICO),ACIDO VALPROICO,Sistema nervioso,1116.5,21,62
3300914,MICROLAX 450/45MG C/1 ENEMA,MICROLAX,Tracto alimentario y metabolismo,123,4,9
3300920,VYTORIN 10/20 10MG/20MG 14 TAB(EZETIMIBA/SIMVASTATINA),EZETIMIBA/SIMVASTATINA,Sistema cardiovascular,1161.5,2,2
3300983,BRISTAFLAM CREMA 60G ACECLOFENACO,BRISTAFLAM,Sistema musculoesquelético,1778.49,2,5
3300924,AMIKIN 500MG AMP 2ML (AMIKACINA),AMIKACINA,Antiinfecciosos para uso sistémico,1030,3,6
3300866,HI DEX AMPOLLETA 1ML (COMPLEJO DE HIERRO DEXTRAN HIDROGENAD),COMPLEJO DE HIERRO DEXTRAN HIDROGENAD,Sangre y órganos hematopoyéticos,375,1,1
3300962,MICARDIS PLUS 80/12.5MG C/14 TAB,MICARDIS,Sistema cardiovascular,434,2,4
3300978,SOYALOID PACK 20G C/10 SOBRES HARINA DE SOYA,SOYALOID,Dermatológicos,156,2,3
3300909,PANOTO-S JBE 100ML,PANOTO-S,Sistema respiratorio,325,2,5
3300939,ORECIL NF SOL.10ML C/GOTERO,ORECIL,Órganos de los sentidos,290,1,2
3300870,MICOSTATIN SUSP 30 DOSIS(NISTATINA),NISTATINA,Tracto alimentario y metabolismo,696.5,8,16
3300843,CATAFLAM 180MG SUSP 120ML PEDIAT(DICLOFENACO),DICLOFENACO,Sistema musculoesquelético,319,1,1
3300955,KLARICID OD 500MG C/7 TAB CLARITROMICINA,KLARICID,Antiinfecciosos para uso sistémico,773,1,1
3300986,BIPASMIN COMPUESTO 20MG/2.5G AMP (BUTILHIOSCINA/METAMIZOL),BUTILHIOSCINA/METAMIZOL,Tracto alimentario y metabolismo,130,6,14
3300875,DIFLUCAN 100MG C/10 CAP(FLUCONAZOL),FLUCONAZOL,Antiinfecciosos para uso sistémico,278.5,2,5
3300952,PULMOCARE 236 ML VAINILLA,PULMOCARE,Varios,651.5,64,186
3300907,PYLOPAC CARTERAS C/7 CAPS.,PYLOPAC,Tracto alimentario y metabolismo,757,1,1
3300948,JANUVIA 50MG C/28 CPR(SITAGLIPTINA),SITAGLIPTINA,Tracto alimentario y metabolismo,406,2,2
3300898,TOBRADEX GOTAS 5ML(TOBRAMICINA/DEXAMETASONA),TOBRAMICINA/DEXAMETASONA,Órganos de los sentidos,486,2,4
3300915,ACETA DIAZOL 250MG C/30 TAB(ACETAZOLAMIDA),ACETAZOLAMIDA,Órganos de los sentidos,390.5,2,2
3301097,AFUMIX 37.5/500MG C/4 TAB(FLUCONAZOL/TINIDAZOL),FLUCONAZOL/TINIDAZOL,Antiinfecciosos para uso sistémico,514.5,1,2
3301029,BISOLVON SOLUCION ADULTO 120ML(BROMHEXINA),BROMHEXINA,Sistema respiratorio,589,1,2
3301151,FACICAM GEL TUBO 40GR (PIROXICAM),PIROXICAM,Sistema musculoesquelético,366,7,19
3301139,NEUROFLAX 20MG/4MG X AMP(COBAMAMIDA/TIOCOLCHICOSIDO),COBAMAMIDA/TIOCOLCHICOSIDO,Sistema musculoesquelético,640,6,18
3301147,ROCALTROL 0.25MCG C/30 CAPS(CALCITRIOL),CALCITRIOL,Tracto alimentario y metabolismo,245,1,2
3301041,DAFLON 750MG C/18 GRAGEAS(DIOSMINA/HESPERIDINA) SANFER,DIOSMINA/HESPERIDINA,Sistema cardiovascular,580,1,1
3301003,HIDRASEC 30MG C/18 SOBRES(RACECADOTRILO),RACECADOTRILO,Tracto alimentario y metabolismo,548,3,6
3301022,AFRIN INFANTIL SPRAY 20ML (OXIMETAZOLINA),OXIMETAZOLINA,Sistema respiratorio,69,1,1
3300994,TRAMACET 37.5/325MG C/20 TAB(PARACETAMOL /TRAMADOL),PARACETAMOL /TRAMADOL,Sistema nervioso,672,3,6
3300995,DIMEGAN 100MG JBE 60ML(LORATADINA),LORATADINA,Sistema respiratorio,186,2,4
3301094,SINUBERASE ORAL 5ML C/10 AMP,SINUBERASE,Tracto alimentario y metabolismo,738,3,6
3301154,ALIN 8MG AMP 2ML (DEXAMETASONA),DEXAMETASONA,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas",56,12,34
3301114,HIDRASEC 100MG C/9 CAPS(RACECADOTRILO),RACECADOTRILO,Tracto alimentario y metabolismo,435,12,24
3301178,ALDOMET 250MG C/50 TAB(METILDOPA),METILDOPA,Sistema cardiovascular,360.5,2,2
3301116,SPIRIVA 18MCG C/20 CAPBROMURO DE TIOTROPIO,SPIRIVA,Sistema respiratorio,271.5,1,1
3301004,KEPPRA 500MG C/30 TAB(LEVETIRACETAM),LEVETIRACETAM,Sistema nervioso,692,2,3
3301046,AMARYL M (GLIMEPIRIDA/METFORMINA) 4MG/1000MG TAB C/16,GLIMEPIRIDA/METFORMINA,Tracto alimentario y metabolismo,572,1,1
3301118,CICLOFERON 2G CREMA(ACICLOVIR),ACICLOVIR,Antiinfecciosos para uso sistémico,71.5,3,7
3301175,CASODEX (BICALUTAMIDA) 50 MG TAB C/28,BICALUTAMIDA,Antineoplásicos e inmunomoduladores,267,1,1
3301013,TYLEX 750MG C/20 TAB PARACETAMOL,TYLEX,Sistema nervioso,662,3,7
3301083,DENVAR 100 MILIGRAMOS SUSP 100ML (CEFIXIMA ),CEFIXIMA ,Antiinfecciosos para uso sistémico,510,2,3
3301051,ARAVA 20MG C/30 CAPS (LEFLUNOMIDA),LEFLUNOMIDA,Antineoplásicos e inmunomoduladores,2368,1,1
3301071,"CALTRATE 600+D C/30 TAB CALCIUM / VITAMIN D,",CALTRATE,Tracto alimentario y metabolismo,192,1,2
3301037,BISOLVON INFANTIL 120ML SOL(BROMHEXINA),BROMHEXINA,Sistema respiratorio,124,1,1
3301053,FIRAC 125GM C/10 TAB(CLONIXINATO DE LISINA),CLONIXINATO DE LISINA,Sistema musculoesquelético,601.5,1,2
3301109,MOTRIN 600MG C/45 GRAGEAS(IBUPROFENO),IBUPROFENO,Sistema musculoesquelético,356,1,1
3301157,ESTECLIN 300MG C/20 CAP(ERDOSTEINA),ERDOSTEINA,Sistema respiratorio,1590,1,1
3301048,DAXON 500MG C/6 TAB(NITAZOXANIDA),NITAZOXANIDA,"Antiparasitarios, insecticidas y repelentes",391,2,5
3301061,ATACAND PLUS 16MG/12.5MG C/14TAB. CANDESARTAN/HIDROCLOROTIAZ,ATACAND,Sistema cardiovascular,957.5,2,3
3301172,GARAMICINA 80MG AMP 2ML (GENTAMICINA),GENTAMICINA,Antiinfecciosos para uso sistémico,517.5,15,15
3301074,RISPERDAL 100MG GOTAS 60ML(RISPERIDONA),RISPERIDONA,Sistema nervioso,36,2,2
3301076,BLADURIL 200MG C/20 TAB,BLADURIL,Sistema genitourinario y hormonas sexuales,552,1,1
3301120,ANARA 5MG C/20 TAB(PICOSULFATO SODICO),PICOSULFATO SODICO,Tracto alimentario y metabolismo,99.5,1,2
3301068,BRIDION 100MG/2ML FCO AMP I.V. (SUGAMMADEX),SUGAMMADEX,Varios,947.5,2,6
3301033,RAPIVIR 500MG C/10 TAB,RAPIVIR,Antiinfecciosos para uso sistémico,499,1,1
3301021,AFRIN LUB ADULTO SPRAY 20ML (OXIMETAZOLINA),OXIMETAZOLINA,Sistema respiratorio,71,2,4
3301148,TRADOL 100MG GOTAS 10ML TRAMADOL,TRADOL,Sistema nervioso,110,4,11
3301060,XATRAL OD 10MG C/14 TAB(ALFUZOSINA),ALFUZOSINA,Sistema genitourinario y hormonas sexuales,1422,1,1
3301168,VONTROL 25MG C/25 TAB (DIFENIDOL),DIFENIDOL,Tracto alimentario y metabolismo,243,2,6
3301073,BONADOXINA 25MG C/25 TAB (MECLIZINA/PIRIDOXINA),MECLIZINA/PIRIDOXINA,Sistema respiratorio,356.5,1,1
3301055,ULCODERMA UNGUENTO 15G (CLORANFENICOL/COLAGEASA),CLORANFENICOL/COLAGEASA,Dermatológicos,305,2,6
3301169,ZENTEL 200MG C/10 TAB(ALBENDAZOL),ALBENDAZOL,"Antiparasitarios, insecticidas y repelentes",213.5,2,2
3301047,GI GARAMICINA 20MG AMP 2ML (GENTAMICINA),GENTAMICINA,Antiinfecciosos para uso sistémico,249,2,2
3301130,STALEVO 50/12.5/200 MG C/30 TAB LEVODOPA/CARBIDOPA/ENTACAPON,STALEVO,Sistema nervioso,1022.5,1,1
3301014,ENALADIL 20MG C/10 TAB(ENALAPRIL),ENALAPRIL,Sistema cardiovascular,116,1,2
3301016,ALIN 0.75MG C/30 TAB (DEXAMETASONA),DEXAMETASONA,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas",70,2,4
3301023,RECOVERON (C) 5G CREMA 40G ACIDO ACEX@MICO,RECOVERON,Dermatológicos,516,1,1
3301064,ATHOS 30MG C/20 CAPS(DEXTROMETORFANO),DEXTROMETORFANO,Sistema respiratorio,136,1,1
3301049,NEO MELUBRINA 2.5G AMP 5ML (METAMIZOL SODICO),METAMIZOL SODICO,Sistema nervioso,313.5,2,3
3301093,DETRUSITOL 2MG C/14 TAB(TOLTERIDONA),TOLTERIDONA,Sistema genitourinario y hormonas sexuales,444,2,3
3301050,NEO MELUBRINA 1G AMP 2ML (METAMIZOL SODICO),METAMIZOL SODICO,Sistema nervioso,473,2,5
3301020,AFRIN ADULTO SPRAY 20ML (OXIMETAZOLINA ) SCHERIN,OXIMETAZOLINA ,Sistema respiratorio,68,5,10
3301040,DAFLON 500MG C/20 TABLETAS(DIOSMINA/HESPERIDINA),DIOSMINA/HESPERIDINA,Sistema cardiovascular,309.5,5,13
3301044,AGGLAD OFTENO (BRIMONIDINA) 2MG/ML GOTAS 5ML,BRIMONIDINA,Órganos de los sentidos,627.5,1,1
3301007,RANTUDIL 60MG C/28 CAPSACEMETACINA,RANTUDIL,Sistema musculoesquelético,8967.5,1,2
3301034,RANISEN (RANITIDINA) 1.5G/100ML JARABE 200ML,RANITIDINA,Tracto alimentario y metabolismo,578,2,2
3301333,DURATER 20MG C/20 CPR (FAMOTIDINA),FAMOTIDINA,Tracto alimentario y metabolismo,338.5,2,2
3301290,BRAXAN 200MG C/20 CPR(AMIODARONA),AMIODARONA,Sistema cardiovascular,510,2,3
3301332,SERETIDE DISKUS 50MCG/500MCG 60 DOSIS SALMETEROL/FLUTICASONA,SALMETEROL/FLUTICASONA,Sistema respiratorio,337,1,1
3301311,"RECORMON 5,000UI AMP C/1 (ERITROPOYETINA HUMANA)",ERITROPOYETINA HUMANA,Sangre y órganos hematopoyéticos,310.5,3,6
3301236,NIZORAL 2G CREMA 40G(KETOCONAZOL),KETOCONAZOL,Antiinfecciosos para uso sistémico,608,2,2
3301268,TABALON 400MG C/10 TAB IBUPROFENO,TABALON,Sistema musculoesquelético,131.5,1,1
3301189,POSIPEN 500MG C/12 CAP(DICLOXACILINA),DICLOXACILINA,Antiinfecciosos para uso sistémico,2837,1,2
3301199,SUFREXAL GEL 2% CREMA 78GKETANSERIN,SUFREXAL,Dermatológicos,302.5,2,3
3301253,AFUNGIL 100MG C/10 CAPS(FLUCONAZOL),FLUCONAZOL,Antiinfecciosos para uso sistémico,1982,2,3
3301280,DABEX XR 750 MG C/30(METFORMINA),METFORMINA,Tracto alimentario y metabolismo,710,1,1
3301341,ARLUY (MEBEVERINA) 200 MG CAP C/30,MEBEVERINA,Tracto alimentario y metabolismo,419,1,2
3301237,MACRODANTINA 100MG C/40 CAPS(NITROFURANTOINA),NITROFURANTOINA,Antiinfecciosos para uso sistémico,502.5,2,6
3301334,CLARITYNE JBE 100 MG 60ML(LORATADINA),LORATADINA,Sistema respiratorio,262.5,1,1
3301226,"BIODEXAN 1 MG/3.5 MG/16,250 UNIDADES/1.5 MG GOTAS 5 ML",BIODEXAN,Órganos de los sentidos,64.5,1,1
3301257,CLORAN OFTENO GOTAS 15ML (CLORANFENICOL),CLORANFENICOL,Antiinfecciosos para uso sistémico,165.5,2,6
3301259,VANTAL BUCOFARINGEO 30ML(BENCIDAMINA),BENCIDAMINA,Sistema respiratorio,322.5,3,6
3301225,BINODIAN DEPOT (PRASTERONA/ESTRADIOL) 200 MG/ 4 MG/ML JER PRELL,PRASTERONA/ESTRADIOL,Sistema genitourinario y hormonas sexuales,146,1,1
3301286,CRONOLEVEL 5/2MG AMP 2ML(BETAMETASONA),BETAMETASONA,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas",1838,1,1
3301282,SENSIBIT 10MG C/10 TAB(LORATADINA),LORATADINA,Sistema respiratorio,884.5,1,1
3301215,BUSCAPINA COMP 10/250MG C/20 GRAG (BUTILHIOSCINA/METASODICO),BUTILHIOSCINA/METASODICO,Tracto alimentario y metabolismo,358,1,2
3301322,CARZILASA 25ML AMP (COCARBOXILASA),CARZILASA,Tracto alimentario y metabolismo,641,4,4
3301205,BUSCAPINA AMP SIMP. 20MG 1ML(BUTILHIOSCINA),BUTILHIOSCINA,Tracto alimentario y metabolismo,358,10,23
3301203,SIRDALUD 2MG CAJA C/20 TAB(TIZANIDINA),TIZANIDINA,Sistema musculoesquelético,756,4,9
3301248,VITAMINA E ETERNAL 100MG C/30 CAPS(VITAMINA E),VITAMINA E,Tracto alimentario y metabolismo,262.5,1,1
3301331,PROGRAF 1MG C/50 CAPS (TACROLIMUS),TACROLIMUS,Antineoplásicos e inmunomoduladores,130,1,1
3301329,DABEX 500 C/60 TAB(METFORMINA),METFORMINA,Tracto alimentario y metabolismo,366,1,2
3301295,CANESTEN 1% 30GR CREMA(CLOTRIMAZOL),CLOTRIMAZOL,Dermatológicos,117,2,2
3301304,CAPOTENA 25MG C/30 TAB(CAPTOPRIL),CAPTOPRIL,Sistema cardiovascular,61,1,1
3301297,NOVOMIX 30 FLEX PEN 100U/ML (INSULINA ASPARTICA),INSULINA ASPARTICA,Tracto alimentario y metabolismo,442,1,1
3301185,ZINNAT 500MG C/10 TAB(CEFUROXIMA),CEFUROXIMA,Antiinfecciosos para uso sistémico,608,1,2
3301186,VONTROL 40MG AMP 2ML (DIFENIDOL),DIFENIDOL,Tracto alimentario y metabolismo,137,31,76
3301298,CANESTEN V 20G CREMA VAGINAL(CLOTRIMAZOL),CLOTRIMAZOL,Dermatológicos,591,2,2
3301284,ATEMPERATOR 400MG C/20 GRAG(VALPROATO DE MAGNESIO),VALPROATO DE MAGNESIO,Sistema nervioso,400,1,2
3301240,DOMEBORO 36.4/51.6G C/12 SOBRES(CALCIO/ALUMINIO),CALCIO/ALUMINIO,Dermatológicos,265,1,1
3301235,ANGIOTROFIN 30MG C/30 TAB (DILTIAZEM),DILTIAZEM,Sistema cardiovascular,203,2,3
3301234,ALGITRIN 325/200MG C/24 TAB (PARACETAMOL/IBUPROFENO),PARACETAMOL/IBUPROFENO,Sistema nervioso,219,2,4
3301336,CLARITYNE D 60ML JARABE(LORATADINA/FENILEFRINA),LORATADINA/FENILEFRINA,Sistema respiratorio,185,1,1
3301239,SYNALAR NEOMICINA 0.01% 40G CREMA,SYNALAR,Dermatológicos,879,1,1
3301192,GALVUS MET 50MG/850MG C/60 CPR METFORMINA/VILDAGLIPTINA,GALVUS,Tracto alimentario y metabolismo,407,1,1
3301214,BUSCAPINA COMPOSITUM (HIOSCINA/METAMIZOL) 20 MG/2.5 G/5 ML A,HIOSCINA/METAMIZOL,Tracto alimentario y metabolismo,203,22,35
3301316,CALCORT 6MG C/20,CALCORT,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas",152,1,2
3301252,PULMOZYME 2.5MG/2.5ML AMP C/6,PULMOZYME,No encontrado,7329,3,6
3301213,ZINTREPID 10MG/40MG C28 TAB.(EZETIMIBA/SIMVASTATINA),EZETIMIBA/SIMVASTATINA,Sistema cardiovascular,1552,1,1
3301249,VITAMINA E ETERNAL 400MG C/99 CAPS(VITAMINA E),VITAMINA E,Tracto alimentario y metabolismo,262.5,1,2
3301299,RIBOTRIPSIN C/25 GRAG (TRIPSINA/QUIMO/TRIPSINA),TRIPSINA/QUIMO/TRIPSINA,Sistema musculoesquelético,885.5,2,5
3301285,"BEDOYECTA TRI CAJA C/5 AMPOLLETAS HIDROXOCOBALAMINA, VITAMIN",BEDOYECTA,Tracto alimentario y metabolismo,338,2,3
3301223,"CELESTAMINE NS PED JBE 60ML(LORATADINA, BETAMETASONA)","LORATADINA, BETAMETASONA","Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas",272,2,2
3301339,ARGENTAFIL CREMA 1% 160 G(SULFADIAZINA DE PLATA),SULFADIAZINA DE PLATA,Dermatológicos,139,3,7
3301238,DULCOLAX 5MG C/30 TAB (BISACODILO),BISACODILO,Tracto alimentario y metabolismo,824,1,2
3301319,MOTIVAL BLIST C/60 GRAG CONTROLADO,MOTIVAL,Sistema nervioso,70,1,1
3301264,ULSEN 20MG C/14 CAPS(OMEPRAZOL),OMEPRAZOL,Tracto alimentario y metabolismo,370,2,4
3301198,EMLA 1GR C/2 PARCHES 25MG/25MG (LIDOCAINA/PRILOCAINA),LIDOCAINA/PRILOCAINA,Sistema nervioso,379,1,2
3301300,FLAGYL 250MG C/30 CPR(METRONIDAZOL),METRONIDAZOL,Antiinfecciosos para uso sistémico,629.5,1,1
3301251,RIFOCYNA SPRAY SOL. 20MLRIFAMICINA,RIFOCYNA,Antiinfecciosos para uso sistémico,325.5,4,10
3301191,RINELON 0.05% SPRAY SUSP PED 10G(MOMETASONA),MOMETASONA,Sistema respiratorio,1183,1,2
3301442,GLUCOPHAGE 500MG C/60 TAB(METFORMINA),METFORMINA,Tracto alimentario y metabolismo,291.5,3,4
3301534,FLONORM 100MG SUSP. 60ML(RIFAXIMINA),RIFAXIMINA,Tracto alimentario y metabolismo,30.5,1,2
3301438,UNAMOL 10MG C/30 CPR(CISAPRIDA),CISAPRIDA,Tracto alimentario y metabolismo,374,2,2
3301347,VESSEL DUE F 60 MG IV/IM CAJA CON 10 AMP (SULODEXIDA),SULODEXIDA,Sangre y órganos hematopoyéticos,589,3,6
3301492,AKINETON 2MG C/30 TAB (BIPERIDENO),BIPERIDENO,Sistema nervioso,246,1,1
3301430,QLAIRA 28 COMP. ORAL,QLAIRA,No encontrado,825,1,1
3301490,SUPRADOL GEL 30GR KETOROLACO,SUPRADOL,Sistema musculoesquelético,479,1,1
3301448,LIBERTRIM 200MG C/24 CPR(TRIMEBUTINA),TRIMEBUTINA,Tracto alimentario y metabolismo,417,2,3
3301376,CONTUMAX POLVO 17G C/15 SOBRES(POLIETILENGLICOL),CONTUMAX,Tracto alimentario y metabolismo,877,2,5
3301450,CLORURO DE SODIO CAPSULAS.,CLORURO,Sangre y órganos hematopoyéticos,5398.5,2,6
3301456,EXFORGE 10/160MG C/28 COMP (AMLODIPINO/VALSARTAN),AMLODIPINO/VALSARTAN,Sistema cardiovascular,289.5,1,1
3301526,CLARITYNE 10MG C/10 TAB LORATADINA,CLARITYNE,Sistema respiratorio,310,1,1
3301452,CARDISPAN (LEVOCARNITINA) 1 G /5 ML AMP,LEVOCARNITINA,Tracto alimentario y metabolismo,202,12,29
3301542,REZPLEN 500/45MG C/10 TABCLARITROMICINA/AMBROXOL,REZPLEN,Sistema respiratorio,2202,1,1
3301368,ZACTOS 15MG C/7 TAB PIOGLITAZONA,ZACTOS,Tracto alimentario y metabolismo,376,1,1
3301381,PEPTOBISMOL SUSP 118ML ORIGINAL/CEREZA SUBSALICILATO DE BIS,PEPTOBISMOL,Tracto alimentario y metabolismo,1923,3,6
3301493,EXFORGE 10/160 C/14 CPR(AMLODIPINO/VALSARTAN),AMLODIPINO/VALSARTAN,Sistema cardiovascular,253,1,2
3301480,LIBERTRIM 100MG C/20 CPR TRIMEBUTINA,LIBERTRIM,Tracto alimentario y metabolismo,115,2,4
3301425,TEOLONG 200MG C/20 CAPS(TEOFILINA/THEOPHYLLINE),TEOFILINA/THEOPHYLLINE,Sistema respiratorio,632,2,3
3301508,VIVITAR 100MG C/30 (ESPIRONOLACTONA),ESPIRONOLACTONA,Sistema cardiovascular,1040.5,1,1
3301498,BICARTIAL 5 MG/100 MG C/14 CAPS(AMLODIPINO/LOSARTAN),AMLODIPINO/LOSARTAN,Sistema cardiovascular,537.5,1,1
3301382,GALVUS 50MG C/28 TAB.(VILDAGLIPTINA),VILDAGLIPTINA,Tracto alimentario y metabolismo,425,1,1
3301497,LOGIMAX 5/47.5MG C/14 TAB (FELODIPINO/METOPROLOL),FELODIPINO/METOPROLOL,Sistema cardiovascular,383.5,1,1
3301464,ITALDERMOL 4G C/10 GASAS(TRITICUM VULGARE),TRITICUM VULGARE,Sistema genitourinario y hormonas sexuales,8993,12,32
