MedCode,MedDescription,MedPharmacon,MedFamily
3300727,BACTRIM 40/200MG SUSP 120ML(SULFAMETOXAZOL Y TRIMETOPRIMA),BACTRIM,Antiinfecciosos para uso sistémico
3300733,NEURONTIN 300MG C/15 CAPS(GABAPENTINA),NEURONTIN,No encontrado
3300740,PEGASYS 180MCG/0.05ML AMP (PEGINTERFERSN A-2A),PEGASYS,Antineoplásicos e inmunomoduladores
3300747,KLARICID I.V. 500MG AMP (CLARITROMICINA),KLARICID,Antiinfecciosos para uso sistémico
3300753,ZESTRIL 20MG C/14 TAB(LISINOPRIL),ZESTRIL,Sistema cardiovascular
3300755,INSULINA SHORANT 1 CART C/3 ML DISP. DESECHA (INS. GLUSINA),INSULINA,Tracto alimentario y metabolismo
3300756,HUMALOG MIX 25 VIAL 10ML (INSULINA LISPRO/LISPRO PROTAMINA),HUMALOG,Tracto alimentario y metabolismo
3300761,GABIROL 100MG C/14 CAPS(RIMANTADINA),GABIROL,Antiinfecciosos para uso sistémico
3300763,HYZAAR 50/12.5MG C/15 TAB(LOSARTAN/HIDROCLOROTIAZIDA),HYZAAR,Sistema cardiovascular
3300765,TEBONIN 761 40MG C/24 CPR(GINKGO BILOBA),TEBONIN,Sistema nervioso
3300766,AFUNGIL 150MG C/1 TAB(FLUCONAZOL),AFUNGIL,Antiinfecciosos para uso sistémico
3300767,TETANOGAMA 250UI AMP,TETANOGAMA,Antiinfecciosos para uso sistémico
3300773,GRIMAL GOTAS 2MG 10ML(HIALURONATO/OXIMETAZOLINA),GRIMAL,Órganos de los sentidos
3300781,RENACENZ 10ML 215.2MG CAJA C/5 AMP (CEREBROLYSIN),RENACENZ,Sistema nervioso
3300784,BENTYL 10MG C/30 CAP DICICLOVERINA,BENTYL,Tracto alimentario y metabolismo
3300786,TOPAMAX 100MG C/20(TOPIRAMATO),TOPAMAX,No encontrado
3300789,PROSCAR 5MG C/30 TAB (FINASTERIDA),PROSCAR,Sistema genitourinario y hormonas sexuales
3300792,DILATREND 25MG C/14 TAB(CARVEDILOL),DILATREND,Sistema cardiovascular
3300798,SPIRIVA 18MCG C/10 CAPS Y DISP DISPARADORBROMURO DE TIOTROPI,SPIRIVA,Sistema respiratorio
3300799,XUZAL 5MG C/20 TAB LEVOCETIRIZINA,XUZAL,Sistema respiratorio
3300804,FLUMIL 2/75/75MG GOTAS 25 ML(AMINOFENAZONA BUFENINA),FLUMIL,No encontrado
3300810,ALIN 0.50MG C/30 TAB (DEXAMETASONA),ALIN,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3300811,ANARA 20ML GTS(PICOSULFATO SODICO),ANARA,Tracto alimentario y metabolismo
3300812,MALIVAL COMP 215/25MG C/32 CAPS INDOMETACINA/METOCARBAMOL,MALIVAL,Sistema musculoesquelético
3300814,AKABAR 200MG C/16 TAB(NIFUROXAZIDA) CARNOT,AKABAR,Tracto alimentario y metabolismo
3300815,ANGIOTROFIN AP 90MG C/20 TAB (DILTIAZEM),ANGIOTROFIN,Sistema cardiovascular
3300816,AZITROCIN 500MG C/3 TAB (AZITROMICINA),AZITROCIN,Antiinfecciosos para uso sistémico
3300818,AUGMENTIN 12H 875/125MG C/10 TAB(AMOXICILINA/ACIDO,AUGMENTIN,Antiinfecciosos para uso sistémico
3300819,AUGMENTIN JR 12H 400MG SUSP 60ML(AMOXICILINA/ACIDO,AUGMENTIN,Antiinfecciosos para uso sistémico
3300820,AMOBAY 500MG C/15 CAPS (AMOXICILINA),AMOBAY,Antiinfecciosos para uso sistémico
3300822,NEBIDO 1000 MG 4ML AMP IM,NEBIDO,Sistema genitourinario y hormonas sexuales
3300823,BUSCAPINA 10MG C/36 GRAGEAS (BUTILHIOCINA),BUSCAPINA,No encontrado
3300824,DURATER 40MG C/10 CPR (FOMOTIDINA),DURATER,Tracto alimentario y metabolismo
3300828,EUTIROX 25MCG C/50 TAB(LEVOTIROXINA SODICA),EUTIROX,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3300835,ZEMPLAR ORAL 2MCG C/30 CAPSULAS (PARICALCITOL),ZEMPLAR,No encontrado
3300836,COLCHIQUIM 1MG C/20 TAB(COLCHICINA),COLCHIQUIM,Sistema musculoesquelético
3300837,KANK A 0.3 SOL 9.7ML(BENZOCAINA),KANK,Sistema respiratorio
3300839,CLORAMFENI UNGUENTO 5G(CLORANFENICOL),CLORAMFENI,Órganos de los sentidos
3300841,CEFTREX 500 IM F A (CEFTRIAXONA),CEFTREX,Antiinfecciosos para uso sistémico
3300843,CATAFLAM 180MG SUSP 120ML PEDIAT(DICLOFENACO),CATAFLAM,Sistema musculoesquelético
3300846,PEPTOBISMOL C/24 CPR,PEPTOBISMOL,Tracto alimentario y metabolismo
3300849,BLOPRESS PLUS 16/12.5MG C/14 TAB CANDESARTAN CILEXETILO/HIDR,BLOPRESS,Sistema cardiovascular
3300850,YUREDOL 10MG/250MG C/30 CAPS CICLOBENZAPRINA,YUREDOL,Sistema musculoesquelético
3300857,FIRAC 250MG C/10 TAB (CLONIXINATO DE LISINA),FIRAC,Sistema nervioso
3300859,IMOT OFT 0.5% 15ML(TIMOLOL),IMOT,Órganos de los sentidos
3300862,SELOKEN ZOK 95MG C/20 GRAGEAS (METOPROLOL ),SELOKEN,Sistema cardiovascular
3300863,LACTEOL FORTE 340MG PVO C/6 SOB(LACTOBACILOS ACIDOFILOS),LACTEOL,Tracto alimentario y metabolismo
3300866,HI DEX AMPOLLETA 1ML (COMPLEJO DE HIERRO DEXTRAN HIDROGENAD),HI,Falla en Google
3300869,MESTINON 60MG C/20 CPR(PIRIDOSTIGMINA),MESTINON,Sistema nervioso
3300870,MICOSTATIN SUSP 30 DOSIS(NISTATINA),MICOSTATIN,Tracto alimentario y metabolismo
3300871,BIOMICS 400MG C/6 CAP(CEFIXIMA ),BIOMICS,Antiinfecciosos para uso sistémico
3300872,ATEMPERATOR 200MG C/40 CPR(VALPROATO DE MAGNESIO),ATEMPERATOR,Sistema nervioso
3300873,LUCRIN DEPOT 11.25MG C/1 AMP (ACETATO DE LEUPROLIDE),LUCRIN,Antineoplásicos e inmunomoduladores
3300875,DIFLUCAN 100MG C/10 CAP(FLUCONAZOL),DIFLUCAN,No encontrado
3300876,BEZALIP RETARD (BEZAFIBRATO) 400 MG TAB C/10,BEZALIP,Sistema cardiovascular
3300882,NIMBEX 10MG AMP 5ML (BESILATO DE CISATRACURIO),NIMBEX,Sistema musculoesquelético
3300884,MINIRIN SPRAY 2.5ML(DESMOPRESINA),MINIRIN,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3300885,INHIBITRON 20MG C/14 CAPS(OMEPRAZOL ),INHIBITRON,Tracto alimentario y metabolismo
3300892,TENORMIN 50MG C/28 TAB (ATENOLOL ),TENORMIN,Sistema cardiovascular
3300893,TENORETIC 50MG C/28 TAB(ATENOLOL/CLORTALIDONA),TENORETIC,No encontrado
3300897,MICARDIS PLUS 80/25MG C/14 TAB (TELMISARTAN/HIDROCLORITIAZI,MICARDIS,Sistema cardiovascular
3300898,TOBRADEX GOTAS 5ML(TOBRAMICINA/DEXAMETASONA),TOBRADEX,Órganos de los sentidos
3300900,TOBREX 0.3% SOL. GTAS 5ML(TOBRAMICINA),TOBREX,No encontrado
3300904,ATARAX 10MG C/30 GRAG(HIDROXIZINA),ATARAX,Sistema nervioso
3300906,HUMALOG 100UI C/2 CART (INSULINA LISPRO (ORIGEN ADN RECOMBIN,HUMALOG,Tracto alimentario y metabolismo
3300907,PYLOPAC CARTERAS C/7 CAPS.,PYLOPAC,Tracto alimentario y metabolismo
3300909,PANOTO-S JBE 100ML,PANOTO-S,Sistema respiratorio
3300913,DILAR 20MG 2ML AMPULA PARAMETASONA,DILAR,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3300914,MICROLAX 450/45MG C/1 ENEMA,MICROLAX,Tracto alimentario y metabolismo
3300915,ACETA DIAZOL 250MG C/30 TAB(ACETAZOLAMIDA),ACETA,Órganos de los sentidos
3300917,ATEMPERATOR 500MG C/20 TAB(VALPROATO DE MAGNESIO),ATEMPERATOR,Sistema nervioso
3300919,DILACORAN 80MG C/30 GRAG(VERAPAMILO),DILACORAN,Sistema cardiovascular
3300920,VYTORIN 10/20 10MG/20MG 14 TAB(EZETIMIBA/SIMVASTATINA),VYTORIN,No encontrado
3300924,AMIKIN 500MG AMP 2ML (AMIKACINA),AMIKIN,Antiinfecciosos para uso sistémico
3300932,ATACAND 32MG TAB C/14 CANDESARTAN CILEXETILO,ATACAND,Sistema cardiovascular
3300935,LAMISIL 15G CREMA(TERBINAFINA),LAMISIL,Dermatológicos
3300937,PANTOZOL 40MG C/7 GRAGEAS(PANTOPRAZOL),PANTOZOL,Tracto alimentario y metabolismo
3300939,ORECIL NF SOL.10ML C/GOTERO,ORECIL,Órganos de los sentidos
3300942,COZAAR 50MG C/15 GRAGEAS(LOSARTAN) MERCK,COZAAR,Sistema cardiovascular
3300946,DORIXINA RELAX 125/5MG C/20 CPR(LISINA/CICLOBENZAPRINA),DORIXINA,Sistema musculoesquelético
3300947,KRIADEX 2.5MG/1ML GOTAS 10ML CLONAZEPAM,KRIADEX,Sistema nervioso
3300948,JANUVIA 50MG C/28 CPR(SITAGLIPTINA),JANUVIA,Tracto alimentario y metabolismo
3300950,ESKAPAR 4.4G SUSP 90ML(NIFUROXAZIDA),ESKAPAR,Tracto alimentario y metabolismo
3300951,CLARITYNE D 5/30MG C/10 TAB (LORATADINA/FENILEFRINA),CLARITYNE,Sistema respiratorio
3300952,PULMOCARE 236 ML VAINILLA,PULMOCARE,Varios
3300955,KLARICID OD 500MG C/7 TAB CLARITROMICINA,KLARICID,Antiinfecciosos para uso sistémico
3300956,KLARICID OD 500MG C/10 TAB(CLARITOMICINA),KLARICID,Antiinfecciosos para uso sistémico
3300957,KLARICID HP 500MG C/10 TAB(CLARITROMICINA),KLARICID,Antiinfecciosos para uso sistémico
3300958,"ESMISEN C/30 TAB (KETOROLACO ,TIAMINA,PIRIDOXINA )",ESMISEN,Sistema musculoesquelético
3300962,MICARDIS PLUS 80/12.5MG C/14 TAB,MICARDIS,Sistema cardiovascular
3300964,SOSTENON 250 AMP 1ML,SOSTENON,Sistema genitourinario y hormonas sexuales
3300965,SYMBICORT 160/4.5MCG 60 DOSIS(BUDESONINA/FORMOTEROL),SYMBICORT,Sistema respiratorio
3300969,FLANAX 550MG C/12 TAB(NAPROXENO),FLANAX,Sistema musculoesquelético
3300972,AGRASTAT 12.5MG/250ML AMPOLLETA (TIROFIBAN),AGRASTAT,No encontrado
3300974,CELESTAMINE NS 5/0.25MG C/10 TAB(LORATADINA/BETAMETASONA,CELESTAMINE,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3300975,TREXEN DUO 100/400MG C/7 OVULOS CLINDAMICINA/KETOCONAZOL,TREXEN,Sistema genitourinario y hormonas sexuales
3300977,DEPAKENE I.V. 500MG AMP 5ML (ACIDO VALPROICO),DEPAKENE,Sistema nervioso
3300978,SOYALOID PACK 20G C/10 SOBRES HARINA DE SOYA,SOYALOID,Dermatológicos
3300979,MOBICOX 15 MG TAB C/30 (MELOXICAM),MOBICOX,Sistema musculoesquelético
3300983,BRISTAFLAM CREMA 60G ACECLOFENACO,BRISTAFLAM,Sistema musculoesquelético
3300986,BIPASMIN COMPUESTO 20MG/2.5G AMP (BUTILHIOSCINA/METAMIZOL),BIPASMIN,Tracto alimentario y metabolismo
3300987,KEFLEX 1G C/12 TAB(CEFALEXINA),KEFLEX,Antiinfecciosos para uso sistémico
3300994,TRAMACET 37.5/325MG C/20 TAB(PARACETAMOL /TRAMADOL),TRAMACET,Sistema nervioso
3300995,DIMEGAN 100MG JBE 60ML(LORATADINA),DIMEGAN,Sistema respiratorio
3301002,DICYNONE 250MG AMP 2ML (ETAMSILATO),DICYNONE,Sangre y órganos hematopoyéticos
3301003,HIDRASEC 30MG C/18 SOBRES(RACECADOTRILO),HIDRASEC,No encontrado
3301004,KEPPRA 500MG C/30 TAB(LEVETIRACETAM),KEPPRA,Sistema nervioso
3301005,DIPROSPAN 5/2MG AMP 5ML(BETAMETASONA),DIPROSPAN,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301007,RANTUDIL 60MG C/28 CAPSACEMETACINA,RANTUDIL,Sistema musculoesquelético
3301013,TYLEX 750MG C/20 TAB PARACETAMOL,TYLEX,Sistema nervioso
3301014,ENALADIL 20MG C/10 TAB(ENALAPRIL),ENALADIL,Sistema cardiovascular
3301016,ALIN 0.75MG C/30 TAB (DEXAMETASONA),ALIN,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301018,DEPOMEDROL 40MG/ML AMP 2ML(METILPREDNISOLONA),DEPOMEDROL,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301020,AFRIN ADULTO SPRAY 20ML (OXIMETAZOLINA ) SCHERIN,AFRIN,Sistema respiratorio
3301021,AFRIN LUB ADULTO SPRAY 20ML (OXIMETAZOLINA),AFRIN,Sistema respiratorio
3301022,AFRIN INFANTIL SPRAY 20ML (OXIMETAZOLINA),AFRIN,Sistema respiratorio
3301023,RECOVERON (C) 5G CREMA 40G ACIDO ACEX@MICO,RECOVERON,Dermatológicos
3301029,BISOLVON SOLUCION ADULTO 120ML(BROMHEXINA),BISOLVON,Sistema respiratorio
3301033,RAPIVIR 500MG C/10 TAB,RAPIVIR,Antiinfecciosos para uso sistémico
3301034,RANISEN (RANITIDINA) 1.5G/100ML JARABE 200ML,RANISEN,Tracto alimentario y metabolismo
3301037,BISOLVON INFANTIL 120ML SOL(BROMHEXINA),BISOLVON,Sistema respiratorio
3301040,DAFLON 500MG C/20 TABLETAS(DIOSMINA/HESPERIDINA),DAFLON,Sistema cardiovascular
3301041,DAFLON 750MG C/18 GRAGEAS(DIOSMINA/HESPERIDINA) SANFER,DAFLON,Sistema cardiovascular
3301044,AGGLAD OFTENO (BRIMONIDINA) 2MG/ML GOTAS 5ML,AGGLAD,Órganos de los sentidos
3301046,AMARYL M (GLIMEPIRIDA/METFORMINA) 4MG/1000MG TAB C/16,AMARYL,Tracto alimentario y metabolismo
3301047,GI GARAMICINA 20MG AMP 2ML (GENTAMICINA),GI,Falla en Google
3301048,DAXON 500MG C/6 TAB(NITAZOXANIDA),DAXON,"Antiparasitarios, insecticidas y repelentes"
3301049,NEO MELUBRINA 2.5G AMP 5ML (METAMIZOL SODICO),NEO,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301050,NEO MELUBRINA 1G AMP 2ML (METAMIZOL SODICO),NEO,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301051,ARAVA 20MG C/30 CAPS (LEFLUNOMIDA),ARAVA,Antineoplásicos e inmunomoduladores
3301053,FIRAC 125GM C/10 TAB(CLONIXINATO DE LISINA),FIRAC,Sistema nervioso
3301055,ULCODERMA UNGUENTO 15G (CLORANFENICOL/COLAGEASA),ULCODERMA,Dermatológicos
3301060,XATRAL OD 10MG C/14 TAB(ALFUZOSINA),XATRAL,Sistema genitourinario y hormonas sexuales
3301061,ATACAND PLUS 16MG/12.5MG C/14TAB. CANDESARTAN/HIDROCLOROTIAZ,ATACAND,Sistema cardiovascular
3301064,ATHOS 30MG C/20 CAPS(DEXTROMETORFANO),ATHOS,Sistema respiratorio
3301068,BRIDION 100MG/2ML FCO AMP I.V. (SUGAMMADEX),BRIDION,Varios
3301070,VYTORIN 10/10MG C/14 TABS.(EZETIMIBA/SIMVASTATINA),VYTORIN,No encontrado
3301071,"CALTRATE 600+D C/30 TAB CALCIUM / VITAMIN D,",CALTRATE,Tracto alimentario y metabolismo
3301073,BONADOXINA 25MG C/25 TAB (MECLIZINA/PIRIDOXINA),BONADOXINA,Sistema respiratorio
3301074,RISPERDAL 100MG GOTAS 60ML(RISPERIDONA),RISPERDAL,No encontrado
3301076,BLADURIL 200MG C/20 TAB,BLADURIL,Sistema genitourinario y hormonas sexuales
3301083,DENVAR 100 MILIGRAMOS SUSP 100ML (CEFIXIMA ),DENVAR,No encontrado
3301093,DETRUSITOL 2MG C/14 TAB(TOLTERIDONA),DETRUSITOL,No encontrado
3301094,SINUBERASE ORAL 5ML C/10 AMP,SINUBERASE,Tracto alimentario y metabolismo
3301096,ENTEROGERMINA (ORAL)AMP 5ML (ESPORAS DE BACILLUS CLAUSII ),ENTEROGERMINA,Tracto alimentario y metabolismo
3301097,AFUMIX 37.5/500MG C/4 TAB(FLUCONAZOL/TINIDAZOL),AFUMIX,Antiinfecciosos para uso sistémico
3301109,MOTRIN 600MG C/45 GRAGEAS(IBUPROFENO),MOTRIN,Sistema musculoesquelético
3301114,HIDRASEC 100MG C/9 CAPS(RACECADOTRILO),HIDRASEC,No encontrado
3301116,SPIRIVA 18MCG C/20 CAPBROMURO DE TIOTROPIO,SPIRIVA,Sistema respiratorio
3301118,CICLOFERON 2G CREMA(ACICLOVIR),CICLOFERON,Antiinfecciosos para uso sistémico
3301119,BIOYETIN 4000 UI JER. PRELL O FCO.AMP. (ERITROPOYETINA HUMA),BIOYETIN,Sangre y órganos hematopoyéticos
3301120,ANARA 5MG C/20 TAB(PICOSULFATO SODICO),ANARA,Tracto alimentario y metabolismo
3301130,STALEVO 50/12.5/200 MG C/30 TAB LEVODOPA/CARBIDOPA/ENTACAPON,STALEVO,Sistema nervioso
3301131,ADVANTAN CREMA 15 GR (METILPREDNISOLONA),ADVANTAN,Dermatológicos
3301135,CONCERTA 54MG TAB C/30(METILFENIDATO ) CONTROLADO,CONCERTA,No encontrado
3301139,NEUROFLAX 20MG/4MG X AMP(COBAMAMIDA/TIOCOLCHICOSIDO),NEUROFLAX,Sistema musculoesquelético
3301140,NEUROFLAX 20/4MG C/3 AMP (COBAMAMIDA/TIOCOLCHICOSIDO),NEUROFLAX,Sistema musculoesquelético
3301147,ROCALTROL 0.25MCG C/30 CAPS(CALCITRIOL),ROCALTROL,Tracto alimentario y metabolismo
3301148,TRADOL 100MG GOTAS 10ML TRAMADOL,TRADOL,Sistema nervioso
3301151,FACICAM GEL TUBO 40GR (PIROXICAM),FACICAM,Sistema musculoesquelético
3301154,ALIN 8MG AMP 2ML (DEXAMETASONA),ALIN,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301155,ALIN DEPOT 8MG 2ML AMP (DEXAMETASONA),ALIN,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301157,ESTECLIN 300MG C/20 CAP(ERDOSTEINA),ESTECLIN,Sistema respiratorio
3301168,VONTROL 25MG C/25 TAB (DIFENIDOL),VONTROL,Falla en Google
3301169,ZENTEL 200MG C/10 TAB(ALBENDAZOL),ZENTEL,"Antiparasitarios, insecticidas y repelentes"
3301171,GARAMICINA 160MG AMP 2ML (GENTAMICINA),GARAMICINA,Antiinfecciosos para uso sistémico
3301172,GARAMICINA 80MG AMP 2ML (GENTAMICINA),GARAMICINA,Antiinfecciosos para uso sistémico
3301175,CASODEX (BICALUTAMIDA) 50 MG TAB C/28,CASODEX,Antineoplásicos e inmunomoduladores
3301178,ALDOMET 250MG C/50 TAB(METILDOPA),ALDOMET,Sistema cardiovascular
3301181,ALTRULINE 50MG C/14 CAPS(SERTRALINA),ALTRULINE,Sistema nervioso
3301184,VASCULFLOW 250/225/25MG TAB C/30(DIOSMINA/HESPERIDINA/DOBESI,VASCULFLOW,Sistema cardiovascular
3301185,ZINNAT 500MG C/10 TAB(CEFUROXIMA),ZINNAT,Antiinfecciosos para uso sistémico
3301186,VONTROL 40MG AMP 2ML (DIFENIDOL),VONTROL,Falla en Google
3301189,POSIPEN 500MG C/12 CAP(DICLOXACILINA),POSIPEN,Antiinfecciosos para uso sistémico
3301191,RINELON 0.05% SPRAY SUSP PED 10G(MOMETASONA),RINELON,Sistema respiratorio
3301192,GALVUS MET 50MG/850MG C/60 CPR METFORMINA/VILDAGLIPTINA,GALVUS,Tracto alimentario y metabolismo
3301198,EMLA 1GR C/2 PARCHES 25MG/25MG (LIDOCAINA/PRILOCAINA),EMLA,Sistema nervioso
3301199,SUFREXAL GEL 2% CREMA 78GKETANSERIN,SUFREXAL,Dermatológicos
3301202,FARMEBAN 500/100MG C/30 CAPS(DIMETICONA/DIYODOHIDROXIQUINOL,FARMEBAN,"Antiparasitarios, insecticidas y repelentes"
3301203,SIRDALUD 2MG CAJA C/20 TAB(TIZANIDINA),SIRDALUD,No encontrado
3301205,BUSCAPINA AMP SIMP. 20MG 1ML(BUTILHIOSCINA),BUSCAPINA,No encontrado
3301207,COMBESTERAL AMP I.M. C/3(COMPLEJO B/DEXAMETASONA/LIDOCAINA),COMBESTERAL,Sistema musculoesquelético
3301213,ZINTREPID 10MG/40MG C28 TAB.(EZETIMIBA/SIMVASTATINA),ZINTREPID,Sistema cardiovascular
3301214,BUSCAPINA COMPOSITUM (HIOSCINA/METAMIZOL) 20 MG/2.5 G/5 ML A,BUSCAPINA,No encontrado
3301215,BUSCAPINA COMP 10/250MG C/20 GRAG (BUTILHIOSCINA/METASODICO),BUSCAPINA,No encontrado
3301222,METICORTEN 5MG C/30 TAB(PREDNISONA),METICORTEN,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301223,"CELESTAMINE NS PED JBE 60ML(LORATADINA, BETAMETASONA)",CELESTAMINE,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301225,BINODIAN DEPOT (PRASTERONA/ESTRADIOL) 200 MG/ 4 MG/ML JER PRELL,BINODIAN,Sistema genitourinario y hormonas sexuales
3301226,"BIODEXAN 1 MG/3.5 MG/16,250 UNIDADES/1.5 MG GOTAS 5 ML",BIODEXAN,Órganos de los sentidos
3301231,MIRCERA 250MCG /0.3 CAJA C/1 AMP (METOXI POLIETILEN GLICOL-E,MIRCERA,Sangre y órganos hematopoyéticos
3301234,ALGITRIN 325/200MG C/24 TAB (PARACETAMOL/IBUPROFENO),ALGITRIN,Sistema nervioso
3301235,ANGIOTROFIN 30MG C/30 TAB (DILTIAZEM),ANGIOTROFIN,Sistema cardiovascular
3301236,NIZORAL 2G CREMA 40G(KETOCONAZOL),NIZORAL,Dermatológicos
3301237,MACRODANTINA 100MG C/40 CAPS(NITROFURANTOINA),MACRODANTINA,Antiinfecciosos para uso sistémico
3301238,DULCOLAX 5MG C/30 TAB (BISACODILO),DULCOLAX,Tracto alimentario y metabolismo
3301239,SYNALAR NEOMICINA 0.01% 40G CREMA,SYNALAR,Dermatológicos
3301240,DOMEBORO 36.4/51.6G C/12 SOBRES(CALCIO/ALUMINIO),DOMEBORO,Dermatológicos
3301248,VITAMINA E ETERNAL 100MG C/30 CAPS(VITAMINA E),VITAMINA,Tracto alimentario y metabolismo
3301249,VITAMINA E ETERNAL 400MG C/99 CAPS(VITAMINA E),VITAMINA,Tracto alimentario y metabolismo
3301251,RIFOCYNA SPRAY SOL. 20MLRIFAMICINA,RIFOCYNA,Antiinfecciosos para uso sistémico
3301252,PULMOZYME 2.5MG/2.5ML AMP C/6,PULMOZYME,No encontrado
3301253,AFUNGIL 100MG C/10 CAPS(FLUCONAZOL),AFUNGIL,Antiinfecciosos para uso sistémico
3301256,LIBERTRIM SII 200/75 MG COMP C 24(TRIMEBUTINA/SIMETICONA),LIBERTRIM,Tracto alimentario y metabolismo
3301257,CLORAN OFTENO GOTAS 15ML (CLORANFENICOL),CLORAN,Órganos de los sentidos
3301259,VANTAL BUCOFARINGEO 30ML(BENCIDAMINA),VANTAL,Tracto alimentario y metabolismo
3301264,ULSEN 20MG C/14 CAPS(OMEPRAZOL),ULSEN,Tracto alimentario y metabolismo
3301268,TABALON 400MG C/10 TAB IBUPROFENO,TABALON,Sistema musculoesquelético
3301280,DABEX XR 750 MG C/30(METFORMINA),DABEX,Tracto alimentario y metabolismo
3301282,SENSIBIT 10MG C/10 TAB(LORATADINA),SENSIBIT,Sistema respiratorio
3301284,ATEMPERATOR 400MG C/20 GRAG(VALPROATO DE MAGNESIO),ATEMPERATOR,Sistema nervioso
3301285,"BEDOYECTA TRI CAJA C/5 AMPOLLETAS HIDROXOCOBALAMINA, VITAMIN",BEDOYECTA,Tracto alimentario y metabolismo
3301286,CRONOLEVEL 5/2MG AMP 2ML(BETAMETASONA),CRONOLEVEL,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301290,BRAXAN 200MG C/20 CPR(AMIODARONA),BRAXAN,Sistema cardiovascular
3301295,CANESTEN 1% 30GR CREMA(CLOTRIMAZOL),CANESTEN,Dermatológicos
3301297,NOVOMIX 30 FLEX PEN 100U/ML (INSULINA ASPARTICA),NOVOMIX,Tracto alimentario y metabolismo
3301298,CANESTEN V 20G CREMA VAGINAL(CLOTRIMAZOL),CANESTEN,Dermatológicos
3301299,RIBOTRIPSIN C/25 GRAG (TRIPSINA/QUIMO/TRIPSINA),RIBOTRIPSIN,Sistema musculoesquelético
3301300,FLAGYL 250MG C/30 CPR(METRONIDAZOL),FLAGYL,Antiinfecciosos para uso sistémico
3301304,CAPOTENA 25MG C/30 TAB(CAPTOPRIL),CAPOTENA,Sistema cardiovascular
3301307,PANKREOFLAT 80/170MG C/60 TAB (DIMETICONA/PANCREATINA),PANKREOFLAT,Tracto alimentario y metabolismo
3301311,"RECORMON 5,000UI AMP C/1 (ERITROPOYETINA HUMANA)",RECORMON,Sangre y órganos hematopoyéticos
3301314,"MAXITROL 5ML GOTAS SUSP(NEOMICINA,POLIMIXINA B,DEXAMETAXONA",MAXITROL,Órganos de los sentidos
3301315,MIACALCIC 100UI CAJA C/5 AMP (CALCITONINA),MIACALCIC,No encontrado
3301316,CALCORT 6MG C/20,CALCORT,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301317,LANTUS SOLOSTAR PLUMA 100UI 3 ML C/1 (INSULINA GLARGINA),LANTUS,Tracto alimentario y metabolismo
3301319,MOTIVAL BLIST C/60 GRAG CONTROLADO,MOTIVAL,Sistema nervioso
3301322,CARZILASA 25ML AMP (COCARBOXILASA),CARZILASA,Tracto alimentario y metabolismo
3301327,AMOBAY CL 12H (AMOXICILINA/AC CLAVULANICO) 400MG/57MG/50ML SUSP 70ML,AMOBAY,Antiinfecciosos para uso sistémico
3301329,DABEX 500 C/60 TAB(METFORMINA),DABEX,Tracto alimentario y metabolismo
3301331,PROGRAF 1MG C/50 CAPS (TACROLIMUS),PROGRAF,No encontrado
3301332,SERETIDE DISKUS 50MCG/500MCG 60 DOSIS SALMETEROL/FLUTICASONA,SERETIDE,No encontrado
3301333,DURATER 20MG C/20 CPR (FAMOTIDINA),DURATER,Tracto alimentario y metabolismo
3301334,CLARITYNE JBE 100 MG 60ML(LORATADINA),CLARITYNE,Sistema respiratorio
3301336,CLARITYNE D 60ML JARABE(LORATADINA/FENILEFRINA),CLARITYNE,Sistema respiratorio
3301339,ARGENTAFIL CREMA 1% 160 G(SULFADIAZINA DE PLATA),ARGENTAFIL,Dermatológicos
3301341,ARLUY (MEBEVERINA) 200 MG CAP C/30,ARLUY,Tracto alimentario y metabolismo
3301346,CATAFLAM DD 50MG C/12 GRAGEAS(DICLOFENACO),CATAFLAM,Sistema musculoesquelético
3301347,VESSEL DUE F 60 MG IV/IM CAJA CON 10 AMP (SULODEXIDA),VESSEL,Sangre y órganos hematopoyéticos
3301349,TIAMINAL B12 50000U FCO AMP 10 ML C/5JERINGAS(COMPLEJO B,TIAMINAL,Tracto alimentario y metabolismo
3301353,ASPIRINA 500MG C/40 TAB ACIDO ACETILSALICILICO,ASPIRINA,Sistema nervioso
3301354,ASPIRINA PROTECT 100MG C/28 CPR(ACIDO ACETILSALICILICO)BAYER,ASPIRINA,Sistema nervioso
