PROVEEDOR,PEDIDO,FECHA PEDIDO,FECHA ENTREGA,REQUISICION,FECHA SOLICITUD,C. COSTOS,ARTÍCULO,DESCRIPCIÓN,FACTURA,FECHA RECEPCION,CANTIDAD REQUISICION,CANTIDAD SOLICITADA,CANTIDAD RECIBIDA,%
SILVIA VALENCIA MENDEZ,284746.0,2018-12-10,2018-12-17,59069.0,2018-12-10,MATERIAL DE CURACION,1900470,#PLEUR-EVAC A8000I-06 TELEFLEX,,,6.0,6.0,0,0.0
SILVIA VALENCIA MENDEZ,285635.0,2018-12-21,2018-12-31,59304.0,2018-12-21,MATERIAL DE CURACION,1900470,#PLEUR-EVAC A8000I-06 TELEFLEX,6810,2018-12-22,18.0,18.0,12,66.67
SILVIA VALENCIA MENDEZ,285826.0,2018-12-26,2018-12-31,59351.0,2018-12-26,MATERIAL DE CURACION,1900896,#FOSFANEMA 133ML AMA 6130,,,10.0,10.0,0,0.0
SJ MEDICAL MEXICO S. DE R.L. DE C.V.,259269.0,2018-01-22,2018-01-29,53014.0,2018-01-22,MATERIAL DE CURACION,1900844,#ELECTRODO P/MARCAPASO TEMPORAL (PACEL) REF 401641,,,5.0,5.0,0,0.0
SJ MEDICAL MEXICO S. DE R.L. DE C.V.,269452.0,2018-06-04,2018-06-05,55539.0,2018-06-04,MATERIAL DE CURACION,1900844,#ELECTRODO P/MARCAPASO TEMPORAL (PACEL) REF 401641,,,5.0,5.0,0,0.0
SOLUCIONES TECNICAS PARA LA SALUD S.A. DE C.V. (SOLUTESA),258992.0,2018-01-18,2018-01-20,0.0,,MEDICAMENTOS,3800003,ALBUMINA HUMANA AL 20% FCO 50ML,,,0.0,15.0,0,0.0
SOLUCIONES TECNICAS PARA LA SALUD S.A. DE C.V. (SOLUTESA),259727.0,2018-01-29,2018-01-31,53139.0,2018-01-29,MEDICAMENTOS,3800003,ALBUMINA HUMANA AL 20% FCO 50ML,,,10.0,10.0,0,0.0
SOLUMEDIC S.A. DE C.V.,259748.0,2018-01-29,2018-01-31,53138.0,2018-01-29,MEDICAMENTOS,3600215,VERAPAMIL HYDROCHLORIDE 5MG/2ML AMP IV,A-2478,2018-01-30,15.0,15.0,5,33.33
SOLUMEDIC S.A. DE C.V.,259748.0,2018-01-29,2018-01-31,53138.0,2018-01-29,MEDICAMENTOS,3600215,VERAPAMIL HYDROCHLORIDE 5MG/2ML AMP IV,A-2485,2018-01-31,15.0,15.0,10,66.67
SOLUMEDIC S.A. DE C.V.,260702.0,2018-02-09,2018-02-12,53364.0,2018-02-08,MEDICAMENTOS,3600048,SANDOGLOBULINA 6GR AMP (INMUNOGLOBULINA HUMANA),A-2506,2018-02-09,9.0,9.0,1,11.11
SOLUMEDIC S.A. DE C.V.,260702.0,2018-02-09,2018-02-12,53364.0,2018-02-08,MEDICAMENTOS,3600048,SANDOGLOBULINA 6GR AMP (INMUNOGLOBULINA HUMANA),A-2507,2018-02-09,9.0,9.0,2,22.22
SOLUMEDIC S.A. DE C.V.,260702.0,2018-02-09,2018-02-12,53364.0,2018-02-08,MEDICAMENTOS,3600048,SANDOGLOBULINA 6GR AMP (INMUNOGLOBULINA HUMANA),A-2510,2018-02-27,9.0,9.0,6,66.67
SOLUMEDIC S.A. DE C.V.,261977.0,2018-02-26,2018-02-27,53700.0,2018-02-26,MEDICAMENTOS,3600048,SANDOGLOBULINA 6GR AMP (INMUNOGLOBULINA HUMANA),,,2.0,2.0,0,0.0
SOLUMEDIC S.A. DE C.V.,262528.0,2018-03-05,2018-03-06,53818.0,2018-03-05,MEDICAMENTOS,3600048,SANDOGLOBULINA 6GR AMP (INMUNOGLOBULINA HUMANA),,,2.0,2.0,0,0.0
SOLUMEDIC S.A. DE C.V.,262634.0,2018-03-06,2018-03-07,53876.0,2018-03-06,MEDICAMENTOS,3600136,INVANZ 1GR IV (ERTAPENEM),,,10.0,10.0,0,0.0
SOLUMEDIC S.A. DE C.V.,262761.0,2018-03-07,2018-03-08,53889.0,2018-03-07,MEDICAMENTOS,3600136,INVANZ 1GR IV (ERTAPENEM),,,15.0,15.0,0,0.0
SOLUMEDIC S.A. DE C.V.,262762.0,2018-03-07,2018-03-08,53889.0,2018-03-07,MEDICAMENTOS,3600215,VERAPAMIL HYDROCHLORIDE 5MG/2ML AMP IV,,,5.0,5.0,0,0.0
SOLUMEDIC S.A. DE C.V.,262790.0,2018-03-08,2018-03-09,53906.0,2018-03-08,MEDICAMENTOS,3600136,INVANZ 1GR IV (ERTAPENEM),,,15.0,14.0,0,0.0
SOLUMEDIC S.A. DE C.V.,262875.0,2018-03-09,2018-03-12,53923.0,2018-03-08,MEDICAMENTOS,3600172,AZUL DE METILENO FCO AMP,,,5.0,10.0,0,0.0
SOLUMEDIC S.A. DE C.V.,268074.0,2018-05-18,2018-05-21,55234.0,2018-05-18,MEDICAMENTOS,3600136,INVANZ 1GR IV (ERTAPENEM),,,10.0,10.0,0,0.0
SOLUMEDIC S.A. DE C.V.,268194.0,2018-05-21,2018-05-22,55273.0,2018-05-21,MEDICAMENTOS,3600136,INVANZ 1GR IV (ERTAPENEM),,,15.0,15.0,0,0.0
SOLUMEDIC S.A. DE C.V.,268317.0,2018-05-22,2018-05-23,55316.0,2018-05-22,MEDICAMENTOS,3600136,INVANZ 1GR IV (ERTAPENEM),,,10.0,10.0,0,0.0
SOLUMEDIC S.A. DE C.V.,270389.0,2018-06-14,2018-06-15,55755.0,2018-06-14,MEDICAMENTOS,3600161,SIMDAX 2.5MG/ML 5ML AMP (LEVOSIMENDAN),A-2770,2018-06-15,2.0,2.0,1,50.0
SOLUMEDIC S.A. DE C.V.,270389.0,2018-06-14,2018-06-15,55755.0,2018-06-14,MEDICAMENTOS,3600161,SIMDAX 2.5MG/ML 5ML AMP (LEVOSIMENDAN),A-2772,2018-06-17,2.0,2.0,1,50.0
SOLUMEDIC S.A. DE C.V.,270390.0,2018-06-14,2018-06-15,55755.0,2018-06-14,MEDICAMENTOS,3600215,VERAPAMIL HYDROCHLORIDE 5MG/2ML AMP IV,A-2769,2018-06-17,10.0,10.0,5,50.0
SOLUMEDIC S.A. DE C.V.,270390.0,2018-06-14,2018-06-15,55755.0,2018-06-14,MEDICAMENTOS,3600215,VERAPAMIL HYDROCHLORIDE 5MG/2ML AMP IV,A-2771,2018-06-17,10.0,10.0,5,50.0
SOLUMEDIC S.A. DE C.V.,276047.0,2018-08-22,2018-08-27,57083.0,2018-08-22,MEDICAMENTOS,3300972,AGRASTAT (TIROFIBAN) 12.5MG/50ML FAM,,,1.0,1.0,0,0.0
SOLUMEDIC S.A. DE C.V.,278244.0,2018-09-20,2018-09-21,57629.0,2018-09-20,MEDICAMENTOS,3600161,SIMDAX 2.5MG/ML 5ML AMP (LEVOSIMENDAN),,,1.0,1.0,0,0.0
SOLUMEDIC S.A. DE C.V.,282091.0,2018-11-05,2018-11-07,58435.0,2018-11-05,MEDICAMENTOS,3600042,ACTILYSE (ALTEPLASA) 50MG/50ML FAM,,,2.0,2.0,0,0.0
SOLUMEDIC S.A. DE C.V.,282091.0,2018-11-05,2018-11-07,58435.0,2018-11-05,MEDICAMENTOS,3600082,CANCIDAS (CASPOFUNGINA) 70 MG FAM,,,1.0,1.0,0,0.0
SOLUMEDIC S.A. DE C.V.,283397.0,2018-11-23,2018-11-26,0.0,,MEDICAMENTOS,3600136,INVANZ 1GR IV (ERTAPENEM),A-3044,2018-11-24,0.0,179.0,79,44.13
SOLUMEDIC S.A. DE C.V.,283397.0,2018-11-23,2018-11-26,0.0,,MEDICAMENTOS,3600136,INVANZ 1GR IV (ERTAPENEM),A-3051,2018-11-29,0.0,179.0,100,55.87
SOLUMEDIC S.A. DE C.V.,285546.0,2018-12-20,2018-12-24,59274.0,2018-12-20,MEDICAMENTOS,3600042,ACTILYSE (ALTEPLASA) 50MG/50ML FAM,,,2.0,4.0,0,0.0
"SUMINISTROS Y DESECHABLES SKYYD, S.A. DE C.V.",283660.0,2018-11-26,2018-12-03,58796.0,2018-11-26,MATERIAL DE CURACION/ENFERMERIA,1902109,#KIT DE VENOPUNCION ADULTO SKKYD,,,250.0,250.0,0,0.0
"SUMINISTROS Y DESECHABLES SKYYD, S.A. DE C.V.",284148.0,2018-12-03,2018-12-10,58933.0,2018-12-03,MATERIAL DE CURACION/ENFERMERIA,1902109,#KIT DE VENOPUNCION ADULTO SKKYD,,,300.0,300.0,0,0.0
"SUMINISTROS Y DESECHABLES SKYYD, S.A. DE C.V.",285383.0,2018-12-17,2018-12-24,59201.0,2018-12-17,MATERIAL DE CURACION/ENFERMERIA,1902109,#KIT DE VENOPUNCION ADULTO SKKYD,,,500.0,500.0,0,0.0
"SUMINISTROS Y DESECHABLES SKYYD, S.A. DE C.V.",285636.0,2018-12-21,2018-12-31,59304.0,2018-12-21,MATERIAL DE CURACION/ENFERMERIA,1902109,#KIT DE VENOPUNCION ADULTO SKKYD,,,750.0,750.0,0,0.0
"SUMINISTROS Y DESECHABLES SKYYD, S.A. DE C.V.",286022.0,2018-12-31,2019-01-07,59406.0,2018-12-29,MATERIAL DE CURACION/ENFERMERIA,1902109,#KIT DE VENOPUNCION ADULTO SKKYD,,,500.0,500.0,0,0.0
"TECNOMEDICA, S.A. DE C.V.",269604.0,2018-06-06,2018-06-13,55539.0,2018-06-04,MATERIAL DE CURACION,1902037,#CONECTOR DOBLE MACHO LUER-LOCK REF AL17002,,,50.0,50.0,0,0.0
VITA INGENII S.A. DE C.V.,267182.0,2018-05-07,2018-05-14,54989.0,2018-05-07,MATERIAL DE CURACION,1901828,#CUBIERTA P/TERMOMETRO C/25 R.05031-110,,,80.0,80.0,0,0.0
VITA INGENII S.A. DE C.V.,267804.0,2018-05-14,2018-05-21,55141.0,2018-05-14,MATERIAL DE CURACION,1901828,#CUBIERTA P/TERMOMETRO C/25 R.05031-110,,,80.0,80.0,0,0.0
VITA INGENII S.A. DE C.V.,277518.0,2018-09-10,2018-09-14,57434.0,2018-09-10,MATERIAL DE CURACION,1901828,#CUBIERTA P/TERMOMETRO C/25 R.05031-110,,,100.0,100.0,0,0.0
VITA INGENII S.A. DE C.V.,278022.0,2018-09-18,2018-09-24,57597.0,2018-09-18,MATERIAL DE CURACION,1901828,#CUBIERTA P/TERMOMETRO C/25 R.05031-110,,,60.0,60.0,0,0.0
VITA INGENII S.A. DE C.V.,278608.0,2018-09-24,2018-10-01,57670.0,2018-09-24,MATERIAL DE CURACION,1901828,#CUBIERTA P/TERMOMETRO C/25 R.05031-110,,,100.0,100.0,0,0.0
VITASANITAS S.A. DE .C.V.,262389.0,2018-03-02,2018-03-06,53801.0,2018-03-02,MEDICAMENTOS,3305045,ALBUMINA HUMANA AL 20% 50ML GRIFOLS,,,20.0,270.0,0,0.0
"VITASANITAS, S.A. DE C.V.",260043.0,2018-02-01,2018-02-05,53227.0,2018-02-01,MEDICAMENTOS,3800003,ALBUMINA HUMANA AL 20% FCO 50ML,,,5.0,5.0,0,0.0
"VITASANITAS, S.A. DE C.V.",260191.0,2018-02-02,2018-02-05,53250.0,2018-02-02,MEDICAMENTOS,3800003,ALBUMINA HUMANA AL 20% FCO 50ML,,,10.0,10.0,0,0.0
"VITASANITAS, S.A. DE C.V.",280554.0,2018-10-19,2018-10-26,58139.0,2018-10-19,MEDICAMENTOS,3800003,ALBUMINA HUMANA AL 20% FCO 50ML,,,10.0,10.0,0,0.0
"ABASTECEDOR TERAPEUTICO, S.A. DE C.V. (ATSA)",307152.0,2019-09-23,2019-09-27,64127.0,2019-09-23,MATERIAL DE CURACION/ENFERMERIA,1902178,#FIJADOR DE SONDA LEVIN ATSA 3401LNG GRIP LOK,,,10.0,10.0,0,0.0
"ABASTECEDOR TERAPEUTICO, S.A. DE C.V. (ATSA)",315206.0,2019-12-23,2019-12-27,66063.0,2019-12-23,MATERIAL DE CURACION/ENFERMERIA,1902178,#FIJADOR DE SONDA LEVIN ATSA 3401LNG GRIP LOK,,,20.0,20.0,0,0.0
"ABASTOS MEDICOS, S.A. DE C.V.",298494.0,2019-06-07,2019-06-10,0.0,,MATERIAL DE CURACION,1900896,#FOSFANEMA 133ML AMA 6130,,,0.0,10.0,0,0.0
"ABASTOS MEDICOS, S.A. DE C.V.",311548.0,2019-11-13,2019-11-14,0.0,,MEDICAMENTOS,3600136,INVANZ 1GR IV (ERTAPENEM),,,0.0,10.0,0,0.0
ALTA TECNOLOGIA BIOMEDICA S.A. DE C.V.,305473.0,2019-09-02,2019-09-06,63779.0,2019-09-02,INHALOTERAPIA,1901341,#MASCARILLA I-GEL #3 IN-8203,,,8.0,8.0,0,0.0
ALTA TECNOLOGIA BIOMEDICA S.A. DE C.V.,305473.0,2019-09-02,2019-09-06,63779.0,2019-09-02,INHALOTERAPIA,1901343,#MASCARILLA I-GEL #5 IN-8205,,,2.0,2.0,0,0.0
ANA MARIA ESTRELLA LEGORRETA (DIMAQUI),294719.0,2019-04-15,2019-04-19,61304.0,2019-04-15,MATERIAL DE CURACION/ENFERMERIA,1902151,#ESPONJA HEMOSTATICA CURASPON DE 125X80X10,,,5.0,5.0,0,0.0
ANDRES MOCTEZUMA GONZALEZ,306089.0,2019-09-09,2019-09-13,0.0,,MATERIAL DE CURACION,1902078,#SENSI-CARE APLICADOR ESPUMA 1ML 420794,,,0.0,20.0,0,0.0
ANDRES MOCTEZUMA GONZALEZ,309398.0,2019-10-21,2019-10-25,64792.0,2019-10-21,MATERIAL DE CURACION,2900145,#AQUACEL SIMPLE 10CMX10CM REF-177902,,,10.0,10.0,0,0.0
ANDRES MOCTEZUMA GONZALEZ,311419.0,2019-11-11,2019-11-15,0.0,,MATERIAL DE CURACION,1902078,#SENSI-CARE APLICADOR ESPUMA 1ML 420794,,,0.0,40.0,0,0.0
ANDRES MOCTEZUMA GONZALEZ,315204.0,2019-12-23,2019-12-27,66063.0,2019-12-23,MATERIAL DE CURACION,1900553,#DUODERM CGF 4X4 187660 9.5X9.7CM CONVATEC,,,5.0,5.0,0,0.0
ANDRES MOCTEZUMA GONZALEZ,315204.0,2019-12-23,2019-12-27,66063.0,2019-12-23,MATERIAL DE CURACION,1902078,#SENSI-CARE APLICADOR ESPUMA 1ML 420794,,,25.0,25.0,0,0.0
ANDRES MOCTEZUMA GONZALEZ,315205.0,2019-12-23,2019-12-27,66063.0,2019-12-23,MATERIAL DE CURACION/ENFERMERIA,1902046,#AQUACEL FOAM ADH 10X10 CON ADHESIVO 420680,,,10.0,10.0,0,0.0
ANDRES MOCTEZUMA GONZALEZ,315205.0,2019-12-23,2019-12-27,66063.0,2019-12-23,MATERIAL DE CURACION/ENFERMERIA,1902054,#AQUACEL FOAM ADH SACRO 20X17 420626,,,10.0,10.0,0,0.0
ANDRES MOCTEZUMA GONZALEZ,315205.0,2019-12-23,2019-12-27,66063.0,2019-12-23,MATERIAL DE CURACION/ENFERMERIA,1902079,#SENSI-CARE 50ML SPRAY ELIMIN. ADH 413499,,,24.0,24.0,0,0.0
"BR MEDICAL, S.A. DE C.V.",297690.0,2019-05-27,2019-05-31,61981.0,2019-05-27,ORTOPEDIA,3100116,#FAJA LUMBOSACRA (XL) SEMIRIGIDA NEW EDGE,,,1.0,1.0,0,0.0
"BR MEDICAL, S.A. DE C.V.",300969.0,2019-07-08,2019-07-12,62739.0,2019-07-08,ORTOPEDIA,3100147,#COLLARIN MIAMI MEDIANO,,,1.0,1.0,0,0.0
"BR MEDICAL, S.A. DE C.V.",300969.0,2019-07-08,2019-07-12,62739.0,2019-07-08,ORTOPEDIA,3100116,#FAJA LUMBOSACRA (XL) SEMIRIGIDA NEW EDGE,,,1.0,1.0,0,0.0
"BR MEDICAL, S.A. DE C.V.",300969.0,2019-07-08,2019-07-12,62739.0,2019-07-08,ORTOPEDIA,3100134,#GUANTE REDUCCION #7.5 DE RADIACION IB,,,2.0,2.0,0,0.0
"BR MEDICAL, S.A. DE C.V.",307753.0,2019-09-30,2019-10-01,64258.0,2019-09-30,ORTOPEDIA,3100134,#GUANTE REDUCCION #7.5 DE RADIACION IB,,,2.0,2.0,0,0.0
"BR MEDICAL, S.A. DE C.V.",307753.0,2019-09-30,2019-10-01,64258.0,2019-09-30,ORTOPEDIA,3100135,#GUANTE REDUCCION #8.0 DE RADIACION IB,,,1.0,1.0,0,0.0
CASA MARZAM S.A. DE C.V.,308816.0,2019-10-14,2019-10-18,0.0,,MATERIAL DE CURACION,2900109,#PAÑAL ADULTO X PIEZA,,,0.0,196.0,0,0.0
CASA MARZAM S.A. DE C.V.,312531.0,2019-11-25,2019-11-29,0.0,,MEDICAMENTOS,3600117,TYGACIL 50MG AMP. (TIGECICLINA),,,0.0,60.0,0,0.0
CASA MARZAM S.A. DE C.V.,312531.0,2019-11-25,2019-11-29,0.0,,MEDICAMENTOS,3600062,VFEND 200MG AMP (VORICONAZOL),,,0.0,45.0,0,0.0
"CASA PLARRE,S.A. DE C.V.",294371.0,2019-04-11,2019-04-19,61256.0,2019-04-11,MATERIAL DE CURACION,1902059,#EQ. CURACION I.V. HENDIDO Y CHLORAPREP CCH001-19,52,2019-04-16,130.0,130.0,9,6.92
"CASA PLARRE,S.A. DE C.V.",294371.0,2019-04-11,2019-04-19,61256.0,2019-04-11,MATERIAL DE CURACION,1900690,#UNIFORME QX DESECHABLE MEDIANA UCM001-63,52,2019-04-16,100.0,100.0,61,61.0
"CASA PLARRE,S.A. DE C.V.",295119.0,2019-04-22,2019-04-26,61382.0,2019-04-22,MATERIAL DE CURACION,1902059,#EQ. CURACION I.V. HENDIDO Y CHLORAPREP CCH001-19,,,104.0,104.0,0,0.0
"CASA PLARRE,S.A. DE C.V.",295119.0,2019-04-22,2019-04-26,61382.0,2019-04-22,MATERIAL DE CURACION,1900690,#UNIFORME QX DESECHABLE MEDIANA UCM001-63,,,50.0,50.0,0,0.0
"CASA PLARRE,S.A. DE C.V.",295695.0,2019-04-29,2019-05-03,61520.0,2019-04-29,MATERIAL DE CURACION,1902059,#EQ. CURACION I.V. HENDIDO Y CHLORAPREP CCH001-19,,,208.0,208.0,0,0.0
"CASA PLARRE,S.A. DE C.V.",295695.0,2019-04-29,2019-05-03,61520.0,2019-04-29,MATERIAL DE CURACION,1900690,#UNIFORME QX DESECHABLE MEDIANA UCM001-63,,,50.0,50.0,0,0.0
"CASA PLARRE,S.A. DE C.V.",301910.0,2019-07-19,2019-07-26,62986.0,2019-07-19,MATERIAL DE CURACION,1900047,#EQ CATETERISMO VESICAL II CVT 001-68,,,24.0,24.0,0,0.0
"CASA PLARRE,S.A. DE C.V.",302593.0,2019-07-29,2019-08-02,63131.0,2019-07-29,MATERIAL DE CURACION,1900741,#EQUIPO DE INSTALACION DE CATETER CENTRAL ICA001-08,,,21.0,21.0,0,0.0
"CASA PLARRE,S.A. DE C.V.",302593.0,2019-07-29,2019-08-02,63131.0,2019-07-29,MATERIAL DE CURACION,1900690,#UNIFORME QX DESECHABLE MEDIANA UCM001-63,,,50.0,50.0,0,0.0
"CASA PLARRE,S.A. DE C.V.",303134.0,2019-08-05,2019-08-09,63250.0,2019-08-05,MATERIAL DE CURACION,1900047,#EQ CATETERISMO VESICAL II CVT 001-68,,,12.0,12.0,0,0.0
"CASA PLARRE,S.A. DE C.V.",303134.0,2019-08-05,2019-08-09,63250.0,2019-08-05,MATERIAL DE CURACION,1902059,#EQ. CURACION I.V. HENDIDO Y CHLORAPREP CCH001-19,,,52.0,52.0,0,0.0
"CASA PLARRE,S.A. DE C.V.",303134.0,2019-08-05,2019-08-09,63250.0,2019-08-05,MATERIAL DE CURACION,1900741,#EQUIPO DE INSTALACION DE CATETER CENTRAL ICA001-08,,,21.0,21.0,0,0.0
"CASA PLARRE,S.A. DE C.V.",307758.0,2019-09-30,2019-10-04,64262.0,2019-09-30,MATERIAL DE CURACION,1902059,#EQ. CURACION I.V. HENDIDO Y CHLORAPREP CCH001-19,90009275,2019-10-03,78.0,78.0,71,91.03
"CASA PLARRE,S.A. DE C.V.",310787.0,2019-11-04,2019-11-08,65052.0,2019-11-04,MATERIAL DE CURACION,1902059,#EQ. CURACION I.V. HENDIDO Y CHLORAPREP CCH001-19,90011088,2019-11-06,78.0,78.0,71,91.03
"CASA PLARRE,S.A. DE C.V.",310787.0,2019-11-04,2019-11-08,65052.0,2019-11-04,MATERIAL DE CURACION,1902059,#EQ. CURACION I.V. HENDIDO Y CHLORAPREP CCH001-19,90011187,2019-11-08,78.0,78.0,7,8.97
"CASA PLARRE,S.A. DE C.V.",311420.0,2019-11-11,2019-11-15,65176.0,2019-11-11,MATERIAL DE CURACION,1900741,#EQUIPO DE INSTALACION DE CATETER CENTRAL ICA001-08,,,35.0,35.0,0,0.0
"CASA PLARRE,S.A. DE C.V.",311599.0,2019-11-13,2019-12-06,65259.0,2019-11-13,MATERIAL DE CURACION,1900925,#CAMPO ESTERIL 66X38CM CUT001-02,,,100.0,100.0,0,0.0
"CASA PLARRE,S.A. DE C.V.",311599.0,2019-11-13,2019-12-06,65259.0,2019-11-13,MATERIAL DE CURACION,1902059,#EQ. CURACION I.V. HENDIDO Y CHLORAPREP CCH001-19,,,312.0,312.0,0,0.0
"CASA PLARRE,S.A. DE C.V.",311599.0,2019-11-13,2019-12-06,65259.0,2019-11-13,MATERIAL DE CURACION,1900741,#EQUIPO DE INSTALACION DE CATETER CENTRAL ICA001-08,,,140.0,140.0,0,0.0
"CASA PLARRE,S.A. DE C.V.",311599.0,2019-11-13,2019-12-06,65259.0,2019-11-13,MATERIAL DE CURACION,1900690,#UNIFORME QX DESECHABLE MEDIANA UCM001-63,,,150.0,150.0,0,0.0
"CASA PLARRE,S.A. DE C.V.",311600.0,2019-11-13,2019-12-13,65260.0,2019-11-13,MATERIAL DE CURACION,1902059,#EQ. CURACION I.V. HENDIDO Y CHLORAPREP CCH001-19,,,312.0,312.0,0,0.0
"CASA PLARRE,S.A. DE C.V.",311600.0,2019-11-13,2019-12-13,65260.0,2019-11-13,MATERIAL DE CURACION,1900741,#EQUIPO DE INSTALACION DE CATETER CENTRAL ICA001-08,,,126.0,126.0,0,0.0
"CASA PLARRE,S.A. DE C.V.",311600.0,2019-11-13,2019-12-13,65260.0,2019-11-13,MATERIAL DE CURACION,1900690,#UNIFORME QX DESECHABLE MEDIANA UCM001-63,,,100.0,100.0,0,0.0
"CASA PLARRE,S.A. DE C.V.",311602.0,2019-11-13,2019-12-20,65261.0,2019-11-13,MATERIAL DE CURACION,1900925,#CAMPO ESTERIL 66X38CM CUT001-02,,,50.0,50.0,0,0.0
"CASA PLARRE,S.A. DE C.V.",311602.0,2019-11-13,2019-12-20,65261.0,2019-11-13,MATERIAL DE CURACION,1902059,#EQ. CURACION I.V. HENDIDO Y CHLORAPREP CCH001-19,,,312.0,312.0,0,0.0
"CASA PLARRE,S.A. DE C.V.",311602.0,2019-11-13,2019-12-20,65261.0,2019-11-13,MATERIAL DE CURACION,1900741,#EQUIPO DE INSTALACION DE CATETER CENTRAL ICA001-08,,,140.0,140.0,0,0.0
"CASA PLARRE,S.A. DE C.V.",311602.0,2019-11-13,2019-12-20,65261.0,2019-11-13,MATERIAL DE CURACION,1900690,#UNIFORME QX DESECHABLE MEDIANA UCM001-63,,,150.0,150.0,0,0.0
"CASA PLARRE,S.A. DE C.V.",311764.0,2019-11-15,2019-11-08,65294.0,2019-11-15,MATERIAL DE CURACION,1900047,#EQ CATETERISMO VESICAL II CVT 001-68,,,108.0,108.0,0,0.0
"CASA PLARRE,S.A. DE C.V.",311765.0,2019-11-15,2019-12-13,65295.0,2019-11-15,MATERIAL DE CURACION,1900047,#EQ CATETERISMO VESICAL II CVT 001-68,,,108.0,108.0,0,0.0
"CASA PLARRE,S.A. DE C.V.",311766.0,2019-11-15,2019-12-20,65296.0,2019-11-15,MATERIAL DE CURACION,1900047,#EQ CATETERISMO VESICAL II CVT 001-68,,,108.0,108.0,0,0.0
"CENTRO MEDICO FARMACIA, S.A. DE C.V.",289415.0,2019-02-11,2019-02-18,60105.0,2019-02-09,MATERIAL DE CURACION,1901032,#ALLEVYN SACRUM 22CM X 22CM 66000451,,,5.0,5.0,0,0.0
"CENTRO MEDICO FARMACIA, S.A. DE C.V.",292181.0,2019-03-15,2019-03-18,60691.0,2019-03-12,MEDICAMENTOS,3301523,AVELOX (MOXIFLOXACINO) 400 MG TAB C/7,,,3.0,1.0,0,0.0
"CENTRO MEDICO FARMACIA, S.A. DE C.V.",292939.0,2019-03-25,2019-03-31,60919.0,2019-03-25,MATERIAL DE CURACION,1901032,#ALLEVYN SACRUM 22CM X 22CM 66000451,A-16940,2019-03-29,4.0,4.0,3,75.0
"CENTRO MEDICO FARMACIA, S.A. DE C.V.",293490.0,2019-04-01,2019-04-05,61008.0,2019-03-30,MATERIAL DE CURACION,1901032,#ALLEVYN SACRUM 22CM X 22CM 66000451,,,10.0,10.0,0,0.0
"CENTRO MEDICO FARMACIA, S.A. DE C.V.",294385.0,2019-04-11,2019-04-12,61245.0,2019-04-11,MEDICAMENTOS,3300100,FOSFOCIL IV 4G AMP (FOSFOMICINA),,,3.0,4.0,0,0.0
"CENTRO MEDICO FARMACIA, S.A. DE C.V.",300184.0,2019-06-28,2019-06-30,62571.0,2019-06-28,MEDICAMENTOS,3304398,COVERSAM 5MG/5MG C/14COMP. PERINDOPRIL/AMLODIPINO,,,1.0,1.0,0,0.0
"CENTRO MEDICO FARMACIA, S.A. DE C.V.",303135.0,2019-08-05,2019-08-09,63250.0,2019-08-05,MATERIAL DE CURACION,1901771,#ALLEVYN HEEL TALONERA,,,2.0,2.0,0,0.0
"CENTRO MEDICO FARMACIA, S.A. DE C.V.",303135.0,2019-08-05,2019-08-09,63250.0,2019-08-05,MATERIAL DE CURACION,1900845,#BOLSA P/ILEOST-COLOST 4021 AD 30X15CM RECORT IPM,,,5.0,10.0,0,0.0
"CENTRO MEDICO FARMACIA, S.A. DE C.V.",305614.0,2019-09-03,2019-09-06,0.0,,MATERIAL DE CURACION,1901919,#PRONTOSAN SOLUCION 350ML B BRAUN,,,0.0,1.0,0,0.0
"CENTRO MEDICO FARMACIA, S.A. DE C.V.",308354.0,2019-10-07,2019-10-11,64561.0,2019-10-07,MATERIAL DE CURACION,1901032,#ALLEVYN SACRUM 22CM X 22CM 66000451,19088,2019-10-10,10.0,10.0,2,20.0
"CENTRO MEDICO FARMACIA, S.A. DE C.V.",308354.0,2019-10-07,2019-10-11,64561.0,2019-10-07,MATERIAL DE CURACION,1901032,#ALLEVYN SACRUM 22CM X 22CM 66000451,19097,2019-10-10,10.0,10.0,8,80.0
"CENTRO MEDICO FARMACIA, S.A. DE C.V.",308928.0,2019-10-14,2019-10-18,64675.0,2019-10-14,MATERIAL DE CURACION,1901032,#ALLEVYN SACRUM 22CM X 22CM 66000451,19131,2019-10-15,25.0,25.0,12,48.0
"CENTRO MEDICO FARMACIA, S.A. DE C.V.",308928.0,2019-10-14,2019-10-18,64675.0,2019-10-14,MATERIAL DE CURACION,1901032,#ALLEVYN SACRUM 22CM X 22CM 66000451,19159,2019-10-18,25.0,25.0,13,52.0
"CENTRO MEDICO FARMACIA, S.A. DE C.V.",309576.0,2019-10-21,2019-10-25,64794.0,2019-10-21,MATERIAL DE CURACION,1901032,#ALLEVYN SACRUM 22CM X 22CM 66000451,19194,2019-10-22,20.0,20.0,17,85.0
"CENTRO MEDICO FARMACIA, S.A. DE C.V.",309576.0,2019-10-21,2019-10-25,64794.0,2019-10-21,MATERIAL DE CURACION,1901032,#ALLEVYN SACRUM 22CM X 22CM 66000451,19216,2019-10-24,20.0,20.0,3,15.0
"CENTRO MEDICO FARMACIA, S.A. DE C.V.",312665.0,2019-11-25,2019-11-29,65456.0,2019-11-25,MATERIAL DE CURACION,1901771,#ALLEVYN HEEL TALONERA,,,5.0,5.0,0,0.0
